player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Watkins,F,26,4,11,0,0,6,6,5,4,9,0,0,0,1,1,14,TRUE,2009-11-28,Oklahoma State,N
K. Tillie,F,17,1,4,0,0,3,4,1,2,3,1,0,0,1,1,5,TRUE,2009-11-28,Oklahoma State,N
M. Read,F,10,1,3,0,1,0,0,0,1,1,0,0,0,0,4,2,TRUE,2009-11-28,Oklahoma State,N
S. Glover,F,19,0,3,0,1,2,2,0,3,3,0,0,1,1,0,2,TRUE,2009-11-28,Oklahoma State,N
D. Foster,C,16,2,5,0,0,0,0,0,3,3,1,0,1,1,3,4,TRUE,2009-11-28,Oklahoma State,N
J. Washburn,C,7,1,4,0,0,0,0,0,1,1,0,0,0,0,2,2,FALSE,2009-11-28,Oklahoma State,N
L. Drca,G,13,0,2,0,0,0,0,0,3,3,2,1,0,0,3,0,FALSE,2009-11-28,Oklahoma State,N
C. Brown,G,21,2,6,0,2,0,0,1,3,4,2,1,0,2,2,4,FALSE,2009-11-28,Oklahoma State,N
T. Smith,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2009-11-28,Oklahoma State,N
J. Cyphers,G,17,1,3,0,2,2,2,0,2,2,0,0,0,0,0,4,FALSE,2009-11-28,Oklahoma State,N
C. Hines,G,11,3,4,1,2,3,4,0,1,1,0,0,0,2,1,10,FALSE,2009-11-28,Oklahoma State,N
J. Tavita,G,18,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,FALSE,2009-11-28,Oklahoma State,N
M. Henderson,G,21,2,7,2,6,2,2,1,0,1,1,0,0,1,1,8,FALSE,2009-11-28,Oklahoma State,N
R. Shoff,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2009-11-28,Oklahoma State,N
TEAM,NA,NA,17,52,3,14,18,20,9,24,33,7,2,2,11,19,55,FALSE,2009-11-28,Oklahoma State,N
