player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Robinson,F,36,4,8,1,2,5,5,0,6,6,2,2,2,2,2,14,TRUE,2010-02-27,Radford,A
A. Buechert,C,13,0,2,0,0,0,0,1,1,2,0,1,1,1,4,0,TRUE,2010-02-27,Radford,A
M. Morgan,C,26,2,6,0,2,2,2,0,3,3,1,2,0,0,4,6,TRUE,2010-02-27,Radford,A
R. Middleton,G,28,3,9,0,1,0,0,1,7,8,4,0,0,0,0,6,TRUE,2010-02-27,Radford,A
R. Dreher,G,26,2,9,0,2,2,2,2,2,4,2,0,0,2,1,6,TRUE,2010-02-27,Radford,A
C. Malcolm,F,12,0,0,0,0,0,0,0,3,3,0,0,1,1,3,0,FALSE,2010-02-27,Radford,A
C. Corbin,F,29,5,12,1,2,0,0,2,2,4,2,0,0,1,1,11,FALSE,2010-02-27,Radford,A
C. DeWitt,G,4,1,2,1,1,0,0,0,0,0,1,0,0,0,0,3,FALSE,2010-02-27,Radford,A
J. Burton,G,14,0,2,0,1,0,0,0,0,0,2,0,0,1,1,0,FALSE,2010-02-27,Radford,A
G. Gamble,G,12,2,6,2,2,0,0,1,1,2,0,1,0,1,1,6,FALSE,2010-02-27,Radford,A
TEAM,NA,NA,19,56,5,13,9,9,9,27,36,14,6,4,9,17,52,FALSE,2010-02-27,Radford,A
