number,name,position,height,weight,class,hometown
1,Anthony Winbush,F,"6' 7""",NA,SO,NA
3,Tony Lewis,G,"6' 2""",NA,SR,NA
4,Brett Harvey,G,"6' 0""",NA,SR,NA
5,Shane Walker,F,"6' 10""",NA,SO,NA
10,J'hared Hall,G,"6' 2""",NA,SO,NA
21,Jawaan Wright,F,"6' 8""",NA,SR,NA
22,Jamal Barney,G,"6' 3""",NA,JR,NA
25,Robert Olson,G,"6' 4""",NA,FR,NA
30,Julius Brooks,F,"6' 9""",NA,FR,NA
31,Brian Rudolph,G,"5' 11""",NA,JR,NA
33,Luke Wandrusch,G,"6' 1""",NA,FR,NA
34,Garrett Kelly,F,"6' 6""",NA,SR,NA
54,Paolo Ivis,F,"6' 7""",NA,SO,NA
