number,name,position,height,weight,class,hometown
1,Chris Prescott,G,"6' 1""",NA,SO,NA
2,Todd O'Brien,C,"6' 11""",NA,SO,NA
5,C.J. Brown,G,"5' 11""",NA,SR,NA
11,Charoy Bentley,G,"5' 11""",NA,JR,NA
12,Justin Crosgile,G,"5' 11""",NA,FR,NA
13,Darrin Govens,G,"6' 1""",NA,SR,NA
15,Garrett Williamson,G,"6' 5""",NA,SR,NA
21,Temi Adebayo,C,"6' 10""",NA,SO,NA
32,Idris Hilliard,F,"6' 7""",NA,JR,NA
35,Carl Jones,G,"5' 11""",NA,FR,NA
40,Bryant Irwin,F,"6' 8""",NA,SO,NA
42,Carl Baptiste,F,"6' 8""",NA,FR,NA
45,A.J. Rogers,F,"6' 6""",NA,SO,NA
