game_id,date,opponent,location,team_score,opp_score,record
293182117,2009-11-14,Central Michigan,A,71,68,1-0 (0-0)
293220163,2009-11-18,Manhattan,H,61,54,2-0 (0-0)
293250163,2009-11-21,Army,H,52,56,2-1 (0-0)
293280045,2009-11-24,George Washington,A,50,65,2-2 (0-0)
293330025,2009-11-29,California,A,60,81,2-3 (0-0)
293370164,2009-12-03,Rutgers,A,44,58,2-4 (0-0)
293400163,2009-12-06,Lafayette,H,62,48,3-4 (0-0)
293472430,2009-12-13,UNC Greensboro,A,65,50,4-4 (0-0)
293500163,2009-12-16,Monmouth,H,46,42,5-4 (0-0)
293640163,2009-12-30,Wagner,H,45,42,6-4 (0-0)
300022603,2010-01-02,Saint Joseph's,A,70,62,7-4 (0-0)
300040311,2010-01-04,Maine,A,50,52,7-5 (0-0)
300062368,2010-01-06,Marist,A,77,58,8-5 (0-0)
300240163,2010-01-24,Goucher,H,88,35,9-5 (0-0)
300290225,2010-01-29,Brown,A,63,46,10-5 (1-0)
300300043,2010-01-30,Yale,A,58,45,11-5 (2-0)
300360108,2010-02-05,Harvard,A,56,53,12-5 (3-0)
300370159,2010-02-06,Dartmouth,A,54,38,13-5 (4-0)
300430163,2010-02-12,Columbia,H,55,45,14-5 (5-0)
300440163,2010-02-13,Cornell,H,45,48,14-6 (5-1)
300470219,2010-02-16,Pennsylvania,A,58,51,15-6 (6-1)
300500163,2010-02-19,Yale,H,82,58,16-6 (7-1)
300510163,2010-02-20,Brown,H,54,57,16-7 (7-2)
300570172,2010-02-26,Cornell,A,47,50,16-8 (7-3)
300580171,2010-02-27,Columbia,A,67,52,17-8 (8-3)
300640163,2010-03-05,Dartmouth,H,71,43,18-8 (9-3)
300650163,2010-03-06,Harvard,H,54,51,19-8 (10-3)
300680163,2010-03-09,Pennsylvania,H,68,56,20-8 (11-3)
300760163,2010-03-17,Duquesne,H,65,51,21-8 (11-3)
300810085,2010-03-22,IUPUI,A,74,68,22-8 (11-3)
300830139,2010-03-24,Saint Louis,A,59,69,22-9 (11-3)
