player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Brown,F,26,1,3,1,3,0,0,3,2,5,0,0,1,1,4,3,TRUE,2010-11-22,Loyola Chicago,A
R. Sanders,F,26,2,6,0,0,3,8,3,3,6,0,0,0,4,2,7,TRUE,2010-11-22,Loyola Chicago,A
I. White,F,34,4,7,1,2,0,0,1,2,3,0,1,0,1,3,9,TRUE,2010-11-22,Loyola Chicago,A
P. Davis,C,13,3,8,0,0,0,0,2,1,3,0,0,2,4,2,6,TRUE,2010-11-22,Loyola Chicago,A
A.J. Spencer,G,22,1,3,0,1,0,0,2,1,3,2,0,0,5,3,2,TRUE,2010-11-22,Loyola Chicago,A
S. Adamu,F,3,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,FALSE,2010-11-22,Loyola Chicago,A
K. NoelK,F,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2010-11-22,Loyola Chicago,A
I. JohnsonI,F,17,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,FALSE,2010-11-22,Loyola Chicago,A
A. Spellman,C,4,0,1,0,0,1,2,0,1,1,0,0,0,0,0,1,FALSE,2010-11-22,Loyola Chicago,A
J. Middlebrooks,G,22,4,7,2,4,3,5,0,0,0,2,2,0,0,3,13,FALSE,2010-11-22,Loyola Chicago,A
R. Watts,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,2010-11-22,Loyola Chicago,A
T. Butler,G,25,1,10,0,5,3,8,1,4,5,2,2,0,2,4,5,FALSE,2010-11-22,Loyola Chicago,A
TEAM,NA,NA,16,47,4,15,10,23,13,17,30,7,5,4,19,25,46,FALSE,2010-11-22,Loyola Chicago,A
