player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. RuffulD,F,28,1,7,0,2,3,5,3,8,11,2,0,0,2,4,5,TRUE,2010-11-19,Hartford,A
C. Weeden,C,19,1,1,0,0,0,0,0,2,2,0,0,2,3,1,2,TRUE,2010-11-19,Hartford,A
J. Trotter,G,36,9,12,5,7,1,2,1,2,3,1,3,0,2,2,24,TRUE,2010-11-19,Hartford,A
R.J. Griffin,G,29,5,9,3,6,0,0,0,1,1,2,0,0,2,1,13,TRUE,2010-11-19,Hartford,A
R. Dixon,G,30,2,3,0,1,3,3,1,3,4,6,0,0,2,3,7,TRUE,2010-11-19,Hartford,A
M. Ghogomu,F,14,2,3,0,0,2,4,2,0,2,1,1,0,0,2,6,FALSE,2010-11-19,Hartford,A
G. Bertasius,F,25,2,5,1,3,4,4,0,6,6,0,1,0,3,4,9,FALSE,2010-11-19,Hartford,A
M. LaBove,C,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2010-11-19,Hartford,A
T. Melville,G,12,1,2,1,1,2,2,1,0,1,2,0,0,1,2,5,FALSE,2010-11-19,Hartford,A
TEAM,NA,NA,23,42,10,20,15,20,9,23,32,14,5,2,16,20,71,FALSE,2010-11-19,Hartford,A
