player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Lutkenhaus,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2010-11-27,Miami,H
E. Murray,F,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,2010-11-27,Miami,H
A. Banks,F,35,8,14,0,0,5,10,9,2,11,1,0,0,1,3,21,TRUE,2010-11-27,Miami,H
C. Lytle,F,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,TRUE,2010-11-27,Miami,H
C. Fieler,F,31,3,8,3,6,2,3,3,2,5,1,0,0,4,4,11,TRUE,2010-11-27,Miami,H
T. SnyderT,C,14,1,4,0,0,0,0,0,0,0,0,0,0,1,4,2,FALSE,2010-11-27,Miami,H
R. Baker,G,29,8,16,2,5,2,2,1,0,1,1,2,0,0,0,20,FALSE,2010-11-27,Miami,H
H. Miller,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2010-11-27,Miami,H
S. Brown,G,16,2,2,1,1,1,2,0,0,0,0,1,0,1,4,6,FALSE,2010-11-27,Miami,H
C. Varidel,G,29,3,10,3,7,1,2,2,4,6,2,1,0,4,0,10,FALSE,2010-11-27,Miami,H
M. Rivera,G,35,1,5,0,1,3,6,0,4,4,9,2,0,2,3,5,FALSE,2010-11-27,Miami,H
N. Goshay,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2010-11-27,Miami,H
J. Negrin,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2010-11-27,Miami,H
TEAM,NA,NA,26,59,9,20,14,25,16,16,32,15,7,0,14,20,75,FALSE,2010-11-27,Miami,H
