player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
G. Washington,F,33,8,11,0,0,0,0,5,2,7,3,0,2,0,2,16,TRUE,2011-01-12,Towson,A
D. Imes,F,22,4,4,0,0,3,4,1,2,3,1,0,0,0,4,11,TRUE,2011-01-12,Towson,A
C. Jenkins,G,37,7,14,3,8,2,2,0,3,3,5,2,1,2,1,19,TRUE,2011-01-12,Towson,A
M. Moore,G,36,7,13,1,4,6,6,2,6,8,3,3,0,2,2,21,TRUE,2011-01-12,Towson,A
B. Kelleher,G,24,1,6,0,3,1,1,0,3,3,1,0,0,4,1,3,TRUE,2011-01-12,Towson,A
P. Bilbo,F,6,0,1,0,0,0,0,1,1,2,0,0,0,2,1,0,FALSE,2011-01-12,Towson,A
S. Nwaukoni,F,7,1,1,0,0,0,2,1,0,1,0,0,0,0,1,2,FALSE,2011-01-12,Towson,A
Y. Jules,G,7,1,3,0,0,0,0,0,1,1,0,0,0,0,1,2,FALSE,2011-01-12,Towson,A
S. McLendon,G,28,0,6,0,4,0,0,4,6,10,5,1,0,1,1,0,FALSE,2011-01-12,Towson,A
TEAM,NA,NA,29,59,4,19,12,15,14,25,39,18,6,3,11,14,74,FALSE,2011-01-12,Towson,A
