player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Harper,F,19,7,8,4,4,0,1,0,5,5,0,1,0,0,0,18,TRUE,2010-11-12,The Citadel,H
F. Martel,F,15,2,4,1,2,0,1,1,0,1,2,1,0,0,2,5,TRUE,2010-11-12,The Citadel,H
D. Geriot,C,20,3,7,1,1,0,2,2,6,8,3,1,0,2,1,7,TRUE,2010-11-12,The Citadel,H
D. Brothers,G,23,4,8,1,2,0,0,0,1,1,2,0,0,0,1,9,TRUE,2010-11-12,The Citadel,H
K. Anderson,G,21,2,5,1,2,1,2,0,3,3,5,0,0,0,0,6,TRUE,2010-11-12,The Citadel,H
C. Smith,F,5,0,0,0,0,0,0,0,2,2,1,1,0,2,1,0,FALSE,2010-11-12,The Citadel,H
G. Robbins,F,17,2,4,1,2,0,0,0,3,3,1,1,0,2,1,5,FALSE,2010-11-12,The Citadel,H
D. Williams,F,12,2,2,1,1,0,0,0,0,0,0,1,0,0,1,5,FALSE,2010-11-12,The Citadel,H
Z. EstesZ,F,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2010-11-12,The Citadel,H
K. HovdeK,F,10,2,4,0,2,0,0,0,2,2,3,0,0,1,0,4,FALSE,2010-11-12,The Citadel,H
D. GarrettD,C,15,0,2,0,1,0,0,1,6,7,0,0,3,1,2,0,FALSE,2010-11-12,The Citadel,H
J. DuinkerJ,C,17,3,5,0,2,4,4,0,3,3,0,0,0,0,1,10,FALSE,2010-11-12,The Citadel,H
C. Lindsay,G,22,4,5,1,1,1,2,0,1,1,4,2,0,0,1,10,FALSE,2010-11-12,The Citadel,H
TEAM,NA,NA,31,54,11,20,6,12,5,33,38,21,8,3,8,12,79,FALSE,2010-11-12,The Citadel,H
