player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Ringgold,F,31,2,8,0,0,6,8,1,3,4,1,0,1,3,3,10,TRUE,2011-01-27,Iona,A
B. Penn,F,19,0,4,0,2,2,2,0,5,5,1,0,0,3,0,2,TRUE,2011-01-27,Iona,A
D. Stewart,F,30,5,7,0,0,3,7,4,7,11,0,0,1,3,4,13,TRUE,2011-01-27,Iona,A
N. GadsonN,F,33,7,14,0,3,1,2,5,5,10,4,1,0,3,3,15,TRUE,2011-01-27,Iona,A
J. Robinson,G,38,7,15,2,5,3,4,1,3,4,2,1,0,0,2,19,TRUE,2011-01-27,Iona,A
P. Mansell,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2011-01-27,Iona,A
J. Thompson,G,20,0,5,0,2,2,2,0,1,1,3,4,0,0,4,2,FALSE,2011-01-27,Iona,A
A. Myles,G,20,0,1,0,1,0,0,0,2,2,2,0,1,2,2,0,FALSE,2011-01-27,Iona,A
T. Pereira,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2011-01-27,Iona,A
TEAM,NA,NA,21,54,2,13,17,25,13,30,43,13,6,3,14,18,61,FALSE,2011-01-27,Iona,A
