player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
G. Clavell,F,34,8,15,0,0,5,8,3,4,7,1,1,0,2,2,21,TRUE,2011-01-02,UTEP,A
J. Crow,F,21,2,7,1,5,0,0,1,7,8,2,0,0,1,2,5,TRUE,2011-01-02,UTEP,A
A. Bootle,C,20,2,5,0,0,0,0,2,4,6,1,0,0,1,3,4,TRUE,2011-01-02,UTEP,A
M. Williams,G,26,4,10,2,4,1,2,1,0,1,2,5,0,3,5,11,TRUE,2011-01-02,UTEP,A
D. Murray,G,24,1,4,1,2,0,0,0,2,2,3,0,0,2,3,3,TRUE,2011-01-02,UTEP,A
M. James,F,22,2,9,0,0,0,0,2,5,7,3,1,1,0,2,4,FALSE,2011-01-02,UTEP,A
L. Pevehouse,G,21,1,3,0,2,0,0,2,3,5,0,1,0,1,0,2,FALSE,2011-01-02,UTEP,A
B. Randle,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2011-01-02,UTEP,A
N. Richardson,G,30,5,9,3,4,2,6,0,2,2,2,1,0,1,3,15,FALSE,2011-01-02,UTEP,A
TEAM,NA,NA,25,62,7,17,8,16,11,27,38,14,9,1,11,20,65,FALSE,2011-01-02,UTEP,A
