player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. James,F,21,6,12,0,2,4,4,2,1,3,0,1,0,3,5,16,TRUE,2010-11-21,UIC,N
R. Brooks,F,22,0,2,0,0,1,2,2,4,6,0,0,0,0,1,1,TRUE,2010-11-21,UIC,N
W. Martell,C,37,5,8,0,0,0,0,2,6,8,1,1,2,2,2,10,TRUE,2010-11-21,UIC,N
M. Jones,G,30,9,14,3,6,0,0,0,1,1,2,3,0,4,4,21,TRUE,2010-11-21,UIC,N
A. Richmond,G,31,2,11,1,5,3,4,0,1,1,1,0,0,2,2,8,TRUE,2010-11-21,UIC,N
B. Eaves,F,12,0,4,0,1,0,0,0,3,3,0,0,1,0,1,0,FALSE,2010-11-21,UIC,N
N. Malesevic,F,25,2,5,2,3,0,0,2,4,6,1,0,0,1,2,6,FALSE,2010-11-21,UIC,N
D. West,G,19,2,5,1,3,1,1,0,0,0,2,1,1,2,1,6,FALSE,2010-11-21,UIC,N
A. Malhoit,G,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,FALSE,2010-11-21,UIC,N
TEAM,NA,NA,26,62,7,20,9,11,10,20,30,7,6,4,14,18,68,FALSE,2010-11-21,UIC,N
