player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Flowers,F,31,5,6,2,2,3,4,2,5,7,0,2,0,1,3,15,TRUE,2011-01-16,Purdue,H
K. Jones,F,40,6,13,2,6,3,4,4,5,9,1,0,0,3,2,17,TRUE,2011-01-16,Purdue,H
D. Jennings,F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2011-01-16,Purdue,H
D. Bryant,G,25,3,11,1,3,5,5,1,1,2,3,2,0,2,1,12,TRUE,2011-01-16,Purdue,H
C. Mitchell,G,26,2,5,0,2,2,2,1,2,3,1,0,0,3,0,6,TRUE,2011-01-16,Purdue,H
C. Thoroughman,F,11,0,0,0,0,0,0,0,1,1,2,1,0,2,4,0,FALSE,2011-01-16,Purdue,H
D. Kilicli,F,24,4,8,0,0,0,1,3,3,6,0,0,0,4,4,8,FALSE,2011-01-16,Purdue,H
D. Pepper,G,8,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,FALSE,2011-01-16,Purdue,H
J. Mazzulla,G,26,3,7,0,0,4,10,0,4,4,4,2,0,1,0,10,FALSE,2011-01-16,Purdue,H
J. West,G,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2011-01-16,Purdue,H
TEAM,NA,NA,23,50,5,13,17,26,12,25,37,11,8,0,17,14,68,FALSE,2011-01-16,Purdue,H
