number,name,position,height,weight,class,hometown
2,DeAngelo Jones,F,"6' 5""",NA,SR,NA
4,Michael Dunn,G,"6' 0""",NA,SO,NA
10,Cameron Jones,G,"6' 3""",NA,SR,NA
11,Gabe Rogers,G,"6' 2""",NA,SO,NA
12,Julian Olubuyi,G,"5' 9""",NA,SR,NA
21,Stallon Saldivar,G,"6' 0""",NA,SO,NA
22,Ify Umodu,G,"6' 3""",NA,FR,NA
23,Luis Flores,G,"6' 3""",NA,SO,NA
30,Eric Platt,G,"6' 5""",NA,SR,NA
34,Durrell Norman,G,"6' 4""",NA,JR,NA
40,Shane Johannsen,F,"6' 7""",NA,SR,NA
42,Josh Lepley,C,"6' 10""",NA,JR,NA
50,Austin Smith,F,"6' 8""",NA,JR,NA
