player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Hartsock,F,34,8,14,0,1,5,7,0,5,5,3,2,1,1,2,21,TRUE,2012-02-18,Santa Clara,A
B. Davies,F,26,6,7,0,0,8,11,0,3,3,0,0,2,4,4,20,TRUE,2012-02-18,Santa Clara,A
C. AbouoC,F,34,6,10,0,2,2,2,2,6,8,4,1,0,1,2,14,TRUE,2012-02-18,Santa Clara,A
M. Carlino,G,22,1,4,0,1,0,0,1,2,3,7,2,0,2,2,2,TRUE,2012-02-18,Santa Clara,A
A. Winder,G,14,3,8,1,4,0,0,0,0,0,2,1,0,1,2,7,TRUE,2012-02-18,Santa Clara,A
N. Austin,F,17,2,2,0,0,2,2,0,1,1,1,0,0,1,5,6,FALSE,2012-02-18,Santa Clara,A
J. Sharp,F,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,FALSE,2012-02-18,Santa Clara,A
D. Harrison,G,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2012-02-18,Santa Clara,A
C. Cusick,G,19,0,1,0,1,0,0,1,1,2,5,1,0,1,1,0,FALSE,2012-02-18,Santa Clara,A
B. Zylstra,G,26,5,6,2,3,0,0,0,5,5,1,0,1,1,1,12,FALSE,2012-02-18,Santa Clara,A
N. Martineau,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-02-18,Santa Clara,A
TEAM,NA,NA,31,53,3,12,17,22,5,25,30,23,7,4,13,21,82,FALSE,2012-02-18,Santa Clara,A
