player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. McMath,F,13,2,4,2,3,0,0,0,0,0,1,0,0,1,5,6,TRUE,2011-12-03,Quinnipiac,A
A. Francis,F,38,8,16,0,0,2,4,0,8,8,1,0,0,5,1,18,TRUE,2011-12-03,Quinnipiac,A
C. Maynard,G,38,6,11,6,10,0,0,2,2,4,6,1,0,1,4,18,TRUE,2011-12-03,Quinnipiac,A
F. Dobbs,G,40,5,8,3,5,1,1,1,1,2,7,0,0,3,2,14,TRUE,2011-12-03,Quinnipiac,A
R. Jordan,G,16,1,1,0,0,0,0,1,1,2,0,2,0,1,1,2,TRUE,2011-12-03,Quinnipiac,A
V. Kondratyev,F,8,1,2,0,0,0,0,0,1,1,1,0,0,1,2,2,FALSE,2011-12-03,Quinnipiac,A
B. Altit,F,21,3,6,1,2,3,6,1,2,3,0,1,0,0,3,10,FALSE,2011-12-03,Quinnipiac,A
T. RobinsonT,F,12,1,2,0,1,0,0,0,1,1,1,0,0,2,4,2,FALSE,2011-12-03,Quinnipiac,A
E. Smith,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2011-12-03,Quinnipiac,A
D. Calandrillo,G,13,0,3,0,2,0,0,0,0,0,0,0,0,0,5,0,FALSE,2011-12-03,Quinnipiac,A
TEAM,NA,NA,27,53,12,23,6,11,6,19,25,17,4,0,14,28,72,FALSE,2011-12-03,Quinnipiac,A
