player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Zlovaric,F,28,4,6,0,0,3,4,4,2,6,0,0,0,1,3,11,TRUE,2012-02-18,The Citadel,H
J. Burroughs,F,28,3,5,0,0,1,4,3,4,7,2,2,2,0,3,7,TRUE,2012-02-18,The Citadel,H
O. Wattad,G,25,0,11,0,8,1,2,1,0,1,0,2,0,1,1,1,TRUE,2012-02-18,The Citadel,H
K. Bell,G,34,2,8,0,5,1,1,0,1,1,6,2,0,4,1,5,TRUE,2012-02-18,The Citadel,H
R. Taylor,G,26,1,8,1,4,1,2,0,4,4,2,0,0,1,0,4,TRUE,2012-02-18,The Citadel,H
L. Stokes,F,11,1,1,0,0,0,0,0,1,1,0,1,0,0,1,2,FALSE,2012-02-18,The Citadel,H
J. Bryant,C,12,1,3,0,0,0,0,1,1,2,0,0,0,0,1,2,FALSE,2012-02-18,The Citadel,H
R. White,G,15,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,FALSE,2012-02-18,The Citadel,H
D. Hampton,G,21,4,7,2,3,2,3,1,1,2,0,1,0,1,1,12,FALSE,2012-02-18,The Citadel,H
TEAM,NA,NA,17,53,3,21,9,16,13,16,29,10,8,2,8,11,46,FALSE,2012-02-18,The Citadel,H
