player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. McDermott,F,41,12,18,3,5,6,6,2,4,6,1,0,0,3,1,33,TRUE,2012-03-04,Illinois State,N
G. Echenique,C,30,4,8,0,0,0,0,3,4,7,2,0,0,1,4,8,TRUE,2012-03-04,Illinois State,N
A. Young,G,36,3,9,0,0,8,14,1,3,4,4,0,0,4,3,14,TRUE,2012-03-04,Illinois State,N
J. Manigat,G,19,1,2,1,2,0,0,0,2,2,0,1,0,0,3,3,TRUE,2012-03-04,Illinois State,N
G. Gibbs,G,36,8,13,2,3,2,2,3,4,7,5,1,0,0,3,20,TRUE,2012-03-04,Illinois State,N
E. Wragge,F,13,1,3,1,3,0,0,1,1,2,0,0,1,0,1,3,FALSE,2012-03-04,Illinois State,N
W. Artino,C,5,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,FALSE,2012-03-04,Illinois State,N
J. Jones,G,25,1,4,0,2,0,0,0,3,3,3,0,0,0,0,2,FALSE,2012-03-04,Illinois State,N
A. Chatman,G,11,0,2,0,1,0,0,0,1,1,1,0,0,0,1,0,FALSE,2012-03-04,Illinois State,N
A. Dingman,G,9,0,3,0,3,0,0,0,2,2,0,0,0,0,1,0,FALSE,2012-03-04,Illinois State,N
TEAM,NA,NA,30,62,7,19,16,22,13,29,42,16,2,1,8,18,83,FALSE,2012-03-04,Illinois State,N
