player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
Y. Crowder,F,32,5,10,0,0,0,0,2,6,8,0,0,3,1,2,10,TRUE,2012-02-25,Hampton,H
A. Stevens,F,34,6,15,0,2,1,2,7,7,14,3,0,0,5,1,13,TRUE,2012-02-25,Hampton,H
C. Watson,G,19,2,7,0,4,0,0,0,4,4,2,0,0,2,4,4,TRUE,2012-02-25,Hampton,H
D. Bullard,G,27,1,5,0,1,0,0,0,1,1,2,0,0,2,3,2,TRUE,2012-02-25,Hampton,H
R. Lewis,G,32,5,12,1,5,1,2,0,2,2,1,0,0,0,3,12,TRUE,2012-02-25,Hampton,H
N. Drayton,F,8,2,5,1,1,0,0,2,2,4,0,0,0,1,3,5,FALSE,2012-02-25,Hampton,H
M. Teal,F,5,0,1,0,1,0,0,0,3,3,0,0,0,0,1,0,FALSE,2012-02-25,Hampton,H
V. Rose,F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,2012-02-25,Hampton,H
J. Neal,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-02-25,Hampton,H
J. Dean,F,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,FALSE,2012-02-25,Hampton,H
J. Kennings,G,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2012-02-25,Hampton,H
B. Hosley,G,4,1,3,0,2,0,0,0,1,1,0,0,0,1,0,2,FALSE,2012-02-25,Hampton,H
A. Moore,G,20,2,6,2,5,3,3,0,1,1,1,2,0,3,3,9,FALSE,2012-02-25,Hampton,H
I. Brown,G,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,2012-02-25,Hampton,H
TEAM,NA,NA,25,67,4,22,5,7,15,28,43,10,2,4,16,21,59,FALSE,2012-02-25,Hampton,H
