player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Jones,F,28,6,13,1,2,4,6,2,6,8,1,0,3,4,1,17,TRUE,2011-11-23,Radford,H
M. Kidd-Gilchrist,F,31,3,8,1,3,8,8,2,7,9,0,3,0,2,0,15,TRUE,2011-11-23,Radford,H
A. Davis,F,25,4,4,0,0,4,4,2,4,6,1,1,4,2,1,12,TRUE,2011-11-23,Radford,H
M. Teague,G,31,6,8,1,2,0,0,0,3,3,5,2,1,2,2,13,TRUE,2011-11-23,Radford,H
D. Lamb,G,22,4,9,1,3,1,1,0,5,5,2,0,0,1,2,10,TRUE,2011-11-23,Radford,H
E. Vargas,F,12,2,2,0,0,0,1,1,3,4,0,0,0,1,1,4,FALSE,2011-11-23,Radford,H
K. Wiltjer,F,22,3,8,1,2,2,2,5,3,8,2,2,2,3,1,9,FALSE,2011-11-23,Radford,H
J. Polson,C,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,FALSE,2011-11-23,Radford,H
D. Miller,G,21,2,8,0,3,2,2,1,1,2,0,3,0,0,2,6,FALSE,2011-11-23,Radford,H
S. Malone,G,2,1,2,0,0,0,0,0,2,2,0,0,0,1,0,2,FALSE,2011-11-23,Radford,H
B. Long,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2011-11-23,Radford,H
TEAM,NA,NA,31,62,5,15,21,24,15,36,51,11,11,10,16,11,88,FALSE,2011-11-23,Radford,H
