player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Behanan,F,19,1,3,0,0,0,0,2,3,5,0,0,0,1,1,2,TRUE,2012-01-14,DePaul,H
G. Dieng,C,38,5,9,0,0,3,3,4,10,14,0,1,4,2,2,13,TRUE,2012-01-14,DePaul,H
C. Smith,G,26,6,9,4,5,4,4,1,2,3,1,0,0,0,3,20,TRUE,2012-01-14,DePaul,H
P. Siva,G,40,2,6,0,2,0,0,0,1,1,7,6,0,6,2,4,TRUE,2012-01-14,DePaul,H
R. Smith,G,34,10,22,0,7,5,8,1,4,5,6,4,0,3,3,25,TRUE,2012-01-14,DePaul,H
J. Swopshire,F,7,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,FALSE,2012-01-14,DePaul,H
R. Buckles,F,14,2,2,1,1,0,0,0,5,5,1,2,0,2,0,5,FALSE,2012-01-14,DePaul,H
Z. Price,C,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2012-01-14,DePaul,H
T. Henderson,G,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,FALSE,2012-01-14,DePaul,H
K. Ware,G,16,3,6,0,0,0,0,1,3,4,0,0,1,3,0,6,FALSE,2012-01-14,DePaul,H
TEAM,NA,NA,29,57,5,15,13,17,11,30,41,16,13,5,17,11,76,FALSE,2012-01-14,DePaul,H
