player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Williams,F,28,5,11,0,2,2,2,4,2,6,1,0,1,0,5,12,TRUE,2012-01-12,Indiana,A
R. Sampson IIIR,C,23,2,4,0,0,0,0,2,6,8,4,2,2,3,3,4,TRUE,2012-01-12,Indiana,A
J. Welch,G,21,4,10,0,1,2,4,5,2,7,1,0,0,3,4,10,TRUE,2012-01-12,Indiana,A
J. Coleman,G,26,2,5,0,0,4,5,2,1,3,1,1,0,1,2,8,TRUE,2012-01-12,Indiana,A
A. Hollins,G,33,7,10,2,4,2,2,0,1,1,0,1,2,0,3,18,TRUE,2012-01-12,Indiana,A
O. Osenieks,F,16,3,7,0,2,0,0,2,0,2,2,0,1,1,2,6,FALSE,2012-01-12,Indiana,A
E. Eliason,C,16,1,1,0,0,0,0,1,3,4,3,1,2,0,2,2,FALSE,2012-01-12,Indiana,A
C. Armelin,G,10,2,6,2,4,0,0,0,0,0,0,1,0,0,0,6,FALSE,2012-01-12,Indiana,A
A. Hollins,G,6,1,3,1,2,0,0,0,1,1,0,0,0,1,3,3,FALSE,2012-01-12,Indiana,A
M. Ahanmisi,G,21,2,5,1,2,3,5,0,1,1,4,2,0,2,1,8,FALSE,2012-01-12,Indiana,A
TEAM,NA,NA,29,62,6,17,13,18,16,17,33,16,8,8,11,25,77,FALSE,2012-01-12,Indiana,A
