player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
E. Waite,F,17,0,7,0,0,2,4,3,2,5,1,2,0,2,2,2,TRUE,2012-01-19,St. Francis PA,H
P. Wait,C,21,1,3,0,0,0,0,0,4,4,2,0,1,0,0,2,TRUE,2012-01-19,St. Francis PA,H
D. Nesmith,G,32,5,12,2,5,2,2,1,4,5,4,3,0,0,0,14,TRUE,2012-01-19,St. Francis PA,H
J. Steele,G,32,4,9,2,6,2,2,0,1,1,5,1,0,6,0,12,TRUE,2012-01-19,St. Francis PA,H
A. Tillotson,G,23,1,3,0,0,4,5,2,2,4,2,0,0,3,3,6,TRUE,2012-01-19,St. Francis PA,H
M. Ware,F,26,0,2,0,0,2,2,1,5,6,1,1,1,1,3,2,FALSE,2012-01-19,St. Francis PA,H
M. Myers Keitt,F,31,6,11,1,4,4,4,4,3,7,2,2,0,1,2,17,FALSE,2012-01-19,St. Francis PA,H
D. James,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-01-19,St. Francis PA,H
M. Harris,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-01-19,St. Francis PA,H
W. Campbell,G,18,5,10,3,8,0,0,0,0,0,1,0,0,2,2,13,FALSE,2012-01-19,St. Francis PA,H
M. DiLeo,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-01-19,St. Francis PA,H
TEAM,NA,NA,22,57,8,23,16,19,13,26,39,18,9,2,15,12,68,FALSE,2012-01-19,St. Francis PA,H
