player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Graham,F,27,3,3,0,0,4,4,3,3,6,0,0,2,2,4,10,TRUE,2012-02-16,Iowa,H
R. Travis,F,17,1,3,0,0,0,2,1,5,6,1,0,0,1,1,2,TRUE,2012-02-16,Iowa,H
C. Woodyard,G,19,4,9,2,5,3,4,2,1,3,0,0,0,0,4,13,TRUE,2012-02-16,Iowa,H
T. Frazier,G,34,6,13,0,1,6,6,1,2,3,4,4,0,2,4,18,TRUE,2012-02-16,Iowa,H
N. Colella,G,31,2,6,1,5,4,4,0,1,1,1,0,1,0,2,9,TRUE,2012-02-16,Iowa,H
S. Borovnjak,F,13,1,4,0,0,2,4,2,0,2,0,0,0,0,1,4,FALSE,2012-02-16,Iowa,H
K. Montminy,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-02-16,Iowa,H
M. Glover,G,24,0,3,0,1,3,4,0,3,3,4,2,0,2,3,3,FALSE,2012-02-16,Iowa,H
J. Marshall,G,35,4,12,2,5,0,0,2,5,7,1,1,0,1,3,10,FALSE,2012-02-16,Iowa,H
TEAM,NA,NA,21,53,5,17,22,28,13,21,34,11,7,3,8,22,69,FALSE,2012-02-16,Iowa,H
