player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Johnson,F,18,5,8,0,0,0,2,0,0,0,0,1,3,3,2,10,TRUE,2012-02-16,Quinnipiac,A
J. Cannon,F,31,4,9,0,0,5,10,5,14,19,0,1,0,0,2,13,TRUE,2012-02-16,Quinnipiac,A
S. Perunicic,F,30,2,9,1,5,2,2,0,2,2,0,1,0,1,2,7,TRUE,2012-02-16,Quinnipiac,A
B. Mockford,G,25,2,11,0,7,0,0,0,3,3,2,0,0,3,4,4,TRUE,2012-02-16,Quinnipiac,A
B. Jones,G,30,4,8,0,0,3,4,0,3,3,5,4,0,1,3,11,TRUE,2012-02-16,Quinnipiac,A
L. Ulmer,F,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,2,FALSE,2012-02-16,Quinnipiac,A
T. Nichols,F,24,2,8,2,4,4,5,2,1,3,0,1,0,2,1,10,FALSE,2012-02-16,Quinnipiac,A
M. Milk,C,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,FALSE,2012-02-16,Quinnipiac,A
P.J. Santavenere,G,9,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,FALSE,2012-02-16,Quinnipiac,A
J. Newton,G,15,2,4,1,2,2,3,0,2,2,1,0,0,0,4,7,FALSE,2012-02-16,Quinnipiac,A
K. Douglas,G,11,0,0,0,0,0,0,2,2,4,0,0,0,0,2,0,FALSE,2012-02-16,Quinnipiac,A
TEAM,NA,NA,22,61,4,20,16,26,12,29,41,10,8,3,11,23,64,FALSE,2012-02-16,Quinnipiac,A
