player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. McClellan,F,27,2,6,0,0,2,3,1,5,6,1,0,1,2,1,6,TRUE,2012-02-18,Denver,A
C. Bibi Ndongo,F,26,1,2,0,0,0,0,0,3,3,0,0,0,2,3,2,TRUE,2012-02-18,Denver,A
F. Brown,G,29,5,11,1,4,4,6,0,0,0,2,0,0,1,1,15,TRUE,2012-02-18,Denver,A
C. Winborne,G,26,5,8,3,4,1,2,0,0,0,1,1,0,3,1,14,TRUE,2012-02-18,Denver,A
H. Mingo,G,8,0,3,0,0,0,0,1,2,3,1,0,0,1,1,0,TRUE,2012-02-18,Denver,A
T. Lindsey,F,22,1,1,0,0,2,2,1,0,1,1,2,0,0,0,4,FALSE,2012-02-18,Denver,A
M. Hansberry,G,21,4,7,1,1,3,4,0,1,1,1,1,0,0,0,12,FALSE,2012-02-18,Denver,A
R.J. McCray,G,16,1,1,0,0,0,0,0,3,3,0,0,0,0,0,2,FALSE,2012-02-18,Denver,A
T. Mackey,G,25,1,3,0,2,0,0,0,1,1,2,1,0,1,2,2,FALSE,2012-02-18,Denver,A
TEAM,NA,NA,20,42,5,11,12,17,4,16,20,9,5,1,11,9,57,FALSE,2012-02-18,Denver,A
