player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Broekhoff,F,34,6,11,4,9,2,2,1,11,12,3,2,0,2,2,18,TRUE,2011-12-17,Oakland,H
K. Van Wijk,F,27,8,9,0,0,6,10,1,7,8,0,0,0,2,3,22,TRUE,2011-12-17,Oakland,H
M. Kenney,G,36,2,8,0,1,3,5,2,6,8,7,1,2,2,1,7,TRUE,2011-12-17,Oakland,H
E. Buggs,G,15,0,2,0,1,0,0,0,0,0,5,1,0,3,5,0,TRUE,2011-12-17,Oakland,H
W. Bogan,G,30,3,7,3,6,2,2,0,1,1,1,1,0,1,2,11,TRUE,2011-12-17,Oakland,H
R. Edwards,F,13,3,7,1,2,0,0,2,1,3,1,0,0,2,2,7,FALSE,2011-12-17,Oakland,H
H. Vucic,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2011-12-17,Oakland,H
T. Kurth,G,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2011-12-17,Oakland,H
B. Boggs,G,25,2,5,2,4,1,2,1,0,1,2,0,0,1,3,7,FALSE,2011-12-17,Oakland,H
J. Harris,G,17,3,4,1,2,1,1,0,1,1,0,0,0,4,1,8,FALSE,2011-12-17,Oakland,H
TEAM,NA,NA,27,53,11,25,15,22,8,28,36,19,5,2,18,19,80,FALSE,2011-12-17,Oakland,H
