player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Campbell,F,36,7,13,5,7,5,7,2,2,4,3,1,0,3,1,24,TRUE,2013-02-14,Eastern Illinois,A
W. Triggs,F,27,2,5,0,0,2,5,3,2,5,2,1,1,6,2,6,TRUE,2013-02-14,Eastern Illinois,A
C. Horton,C,30,6,9,0,0,2,2,4,6,10,0,2,2,4,3,14,TRUE,2013-02-14,Eastern Illinois,A
T. Betran,G,30,1,7,1,5,2,2,0,0,0,2,0,1,1,3,5,TRUE,2013-02-14,Eastern Illinois,A
J. Clyburn,G,18,0,3,0,1,0,0,1,2,3,4,0,0,0,0,0,TRUE,2013-02-14,Eastern Illinois,A
C. Freeman,F,12,1,2,0,0,0,0,2,1,3,1,0,1,2,3,2,FALSE,2013-02-14,Eastern Illinois,A
P. Herring,F,10,1,2,0,0,0,0,1,1,2,1,1,0,0,0,2,FALSE,2013-02-14,Eastern Illinois,A
J. Purvis,G,22,3,3,2,2,3,3,0,4,4,1,1,0,1,1,11,FALSE,2013-02-14,Eastern Illinois,A
C. Arentsen,G,15,1,2,1,2,4,6,0,3,3,2,0,0,1,1,7,FALSE,2013-02-14,Eastern Illinois,A
TEAM,NA,NA,22,46,9,17,18,25,14,22,36,16,6,5,18,14,71,FALSE,2013-02-14,Eastern Illinois,A
