player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Mbodj,C,26,3,6,0,0,2,2,1,6,7,0,0,5,1,4,8,TRUE,2013-03-13,Providence,N
T. Rubles,G,24,1,2,0,0,0,0,0,2,2,1,0,0,1,1,2,TRUE,2013-03-13,Providence,N
C. Wright,G,29,2,6,0,3,2,2,0,3,3,5,1,0,1,3,6,TRUE,2013-03-13,Providence,N
S. Kilpatrick,G,35,6,16,2,6,3,4,0,4,4,1,1,0,2,1,17,TRUE,2013-03-13,Providence,N
J. Parker,G,32,5,9,2,3,3,5,2,8,10,3,1,0,0,3,15,TRUE,2013-03-13,Providence,N
S. Thomas,F,19,2,7,0,0,1,2,4,4,8,1,0,1,1,0,5,FALSE,2013-03-13,Providence,N
J. Sanders,F,17,2,7,1,3,1,2,2,0,2,0,1,0,1,0,6,FALSE,2013-03-13,Providence,N
J. Jackson,G,14,0,1,0,0,0,0,1,4,5,1,1,1,2,2,0,FALSE,2013-03-13,Providence,N
G. Guyn,G,4,1,1,0,0,0,0,1,0,1,0,0,0,0,4,2,FALSE,2013-03-13,Providence,N
TEAM,NA,NA,22,55,5,15,12,17,14,32,46,12,5,7,10,18,61,FALSE,2013-03-13,Providence,N
