player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Murray,F,36,8,12,1,3,2,4,3,10,13,2,1,1,1,1,19,TRUE,2012-12-12,UMBC,A
C. Ieans,F,20,4,5,2,2,1,2,0,1,1,1,0,1,0,5,11,TRUE,2012-12-12,UMBC,A
P. Cole,G,24,4,8,0,1,5,7,0,0,0,4,1,0,2,1,13,TRUE,2012-12-12,UMBC,A
S. Smith,G,29,5,7,1,2,2,3,3,9,12,2,0,0,1,1,13,TRUE,2012-12-12,UMBC,A
T. Cephas,G,27,3,5,0,2,0,0,0,2,2,1,2,0,3,1,6,TRUE,2012-12-12,UMBC,A
B. St. Louis,F,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-12-12,UMBC,A
Z. Burnham,F,9,0,2,0,0,0,0,2,1,3,0,0,0,0,2,0,FALSE,2012-12-12,UMBC,A
M. Simpson,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2012-12-12,UMBC,A
D. Johnson,F,8,1,2,0,0,1,2,2,0,2,0,0,0,0,1,3,FALSE,2012-12-12,UMBC,A
N. Adjei,G,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,FALSE,2012-12-12,UMBC,A
A. Armstrong,G,12,1,7,1,4,4,4,1,0,1,0,1,0,1,3,7,FALSE,2012-12-12,UMBC,A
T. Franklin,G,15,1,4,0,1,2,2,0,1,1,3,3,0,2,1,4,FALSE,2012-12-12,UMBC,A
C. Johnson,G,14,1,5,0,2,1,1,1,1,2,0,1,0,1,2,3,FALSE,2012-12-12,UMBC,A
TEAM,NA,NA,28,58,5,17,19,27,13,28,41,13,9,2,11,19,80,FALSE,2012-12-12,UMBC,A
