player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Brown,F,37,3,6,0,0,2,2,2,2,4,0,1,1,4,1,8,TRUE,2013-03-11,Iona,N
R. Colonette,F,21,1,3,0,0,1,1,2,1,3,1,0,0,1,3,3,TRUE,2013-03-11,Iona,N
D. Kates,G,18,1,3,1,3,2,2,2,3,5,2,0,0,3,2,5,TRUE,2013-03-11,Iona,N
M. Koita,G,15,1,5,1,5,1,2,0,0,0,0,1,0,0,2,4,TRUE,2013-03-11,Iona,N
M. Alvarado,G,31,3,10,1,1,7,7,1,0,1,2,2,0,2,3,14,TRUE,2013-03-11,Iona,N
R. McCoy,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2013-03-11,Iona,N
S. Richards,F,23,3,3,3,3,0,0,0,0,0,1,1,0,2,2,9,FALSE,2013-03-11,Iona,N
E. Andujar,F,21,2,7,0,0,2,2,1,3,4,1,1,0,6,2,6,FALSE,2013-03-11,Iona,N
R. Stores,G,28,3,5,2,3,0,0,0,2,2,3,0,0,1,2,8,FALSE,2013-03-11,Iona,N
C. Jones,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2013-03-11,Iona,N
TEAM,NA,NA,17,42,8,15,15,16,10,13,23,10,6,1,20,18,57,FALSE,2013-03-11,Iona,N
