player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. KadjiK,C,35,7,13,2,6,1,1,2,8,10,0,0,0,3,4,17,TRUE,2013-03-02,Duke,A
R. Johnson,C,17,0,5,0,0,0,0,1,4,5,1,0,0,1,4,0,TRUE,2013-03-02,Duke,A
T. McKinney-Jones,G,28,4,6,2,3,2,2,0,5,5,0,0,0,0,1,12,TRUE,2013-03-02,Duke,A
D. Scott,G,38,6,16,0,2,0,1,3,2,5,1,1,0,1,1,12,TRUE,2013-03-02,Duke,A
S. Larkin,G,39,8,16,2,7,7,8,1,3,4,4,0,0,4,4,25,TRUE,2013-03-02,Duke,A
E. Swoope,F,4,0,0,0,0,0,0,1,1,2,1,0,0,0,2,0,FALSE,2013-03-02,Duke,A
J. GambleJ,C,18,2,3,0,0,1,1,2,1,3,0,0,0,0,2,5,FALSE,2013-03-02,Duke,A
T. Jekiri,C,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,FALSE,2013-03-02,Duke,A
R. Brown,G,16,0,4,0,3,3,4,1,2,3,0,0,0,0,1,3,FALSE,2013-03-02,Duke,A
TEAM,NA,NA,28,64,6,21,14,17,13,27,40,7,1,0,10,20,76,FALSE,2013-03-02,Duke,A
