player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Jones,F,9,3,6,0,0,0,0,1,2,3,0,0,1,1,4,6,TRUE,2013-01-12,UL Monroe,A
N. Hunter,F,26,4,7,1,1,0,1,3,2,5,1,0,2,2,3,9,TRUE,2013-01-12,UL Monroe,A
K. Hammonds II,G,30,0,3,0,2,4,4,0,5,5,0,0,0,0,1,4,TRUE,2013-01-12,UL Monroe,A
B. Massey,G,30,2,5,0,1,8,8,0,1,1,3,1,1,5,2,12,TRUE,2013-01-12,UL Monroe,A
M. Knight,G,35,7,13,0,0,3,4,5,4,9,5,3,1,4,1,17,TRUE,2013-01-12,UL Monroe,A
J. Rozier,F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,2013-01-12,UL Monroe,A
J. Sulton,F,24,3,6,0,0,2,4,2,8,10,0,2,1,1,4,8,FALSE,2013-01-12,UL Monroe,A
J. JonesJ,F,5,0,0,0,0,0,1,2,0,2,0,0,0,1,2,0,FALSE,2013-01-12,UL Monroe,A
T. Walker,C,14,3,6,0,0,2,2,0,1,1,0,0,0,0,0,8,FALSE,2013-01-12,UL Monroe,A
R. Cintron,G,14,0,5,0,4,2,2,0,0,0,2,0,0,2,0,2,FALSE,2013-01-12,UL Monroe,A
T. Knight,G,12,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,FALSE,2013-01-12,UL Monroe,A
TEAM,NA,NA,22,51,1,8,21,26,15,25,40,12,8,7,18,18,66,FALSE,2013-01-12,UL Monroe,A
