player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Koch,F,32,1,10,0,6,5,8,1,4,5,3,2,1,5,1,7,TRUE,2013-03-30,Weber State,H
C. Rank,F,14,3,5,2,4,0,0,1,0,1,0,1,0,0,2,8,TRUE,2013-03-30,Weber State,H
M. Singleton,F,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2013-03-30,Weber State,H
S. Tuttle,F,33,7,13,0,0,2,4,3,7,10,2,0,1,0,2,16,TRUE,2013-03-30,Weber State,H
A. Pehl,C,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,TRUE,2013-03-30,Weber State,H
A. James,G,34,2,7,0,1,0,0,0,3,3,1,1,0,2,2,4,FALSE,2013-03-30,Weber State,H
M. Sonnen,G,35,4,10,1,5,1,1,0,4,4,1,0,0,0,3,10,FALSE,2013-03-30,Weber State,H
M. Bohannon,G,8,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,FALSE,2013-03-30,Weber State,H
D. Mitchell,G,37,5,11,0,1,1,1,0,2,2,2,1,0,2,1,11,FALSE,2013-03-30,Weber State,H
TEAM,NA,NA,22,58,3,18,9,14,7,25,32,9,6,2,9,12,56,FALSE,2013-03-30,Weber State,H
