player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Parker,F,23,5,8,0,0,2,2,2,0,2,1,0,0,4,1,12,TRUE,2012-11-25,Oklahoma State,A
A. Moore,F,23,1,5,0,0,0,0,0,6,6,1,0,0,2,0,2,TRUE,2012-11-25,Oklahoma State,A
"A. Winston, Jr.",G,23,0,5,0,3,0,0,0,1,1,1,1,0,0,2,0,TRUE,2012-11-25,Oklahoma State,A
M. Harthun,G,27,4,7,2,4,2,4,0,1,1,1,1,0,1,1,12,TRUE,2012-11-25,Oklahoma State,A
L. McMullan,G,24,2,5,1,4,0,0,0,2,2,0,0,0,1,0,5,TRUE,2012-11-25,Oklahoma State,A
M. Harvey,F,15,1,4,1,2,0,0,2,2,4,0,0,0,2,2,3,FALSE,2012-11-25,Oklahoma State,A
M. Whitmore,F,8,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,FALSE,2012-11-25,Oklahoma State,A
B. Cataldo,C,5,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,FALSE,2012-11-25,Oklahoma State,A
L. Prosser,C,14,2,4,0,0,0,2,2,2,4,0,0,0,2,1,4,FALSE,2012-11-25,Oklahoma State,A
M. Hall,G,18,1,5,0,3,4,4,2,0,2,2,1,0,0,2,6,FALSE,2012-11-25,Oklahoma State,A
G. Winston,G,20,4,8,2,4,1,2,0,2,2,0,1,0,3,1,11,FALSE,2012-11-25,Oklahoma State,A
TEAM,NA,NA,21,53,7,21,9,14,10,19,29,6,4,0,16,12,58,FALSE,2012-11-25,Oklahoma State,A
