player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Parker,F,25,3,6,0,2,1,2,2,1,3,0,0,0,0,0,7,TRUE,2012-12-01,San Diego,H
T. Smith,F,33,7,12,0,0,4,8,2,4,6,1,1,2,1,4,18,TRUE,2012-12-01,San Diego,H
T. Walkup,F,21,1,3,0,0,0,0,1,1,2,0,2,0,3,3,2,TRUE,2012-12-01,San Diego,H
I. Asortse,F,6,0,0,0,0,2,4,1,0,1,0,0,0,1,1,2,TRUE,2012-12-01,San Diego,H
N. Gajic,F,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,2012-12-01,San Diego,H
A. Bostic,G,30,5,11,0,1,5,6,0,3,3,2,5,0,0,0,15,FALSE,2012-12-01,San Diego,H
D. Haymon,G,28,1,4,1,1,2,4,1,2,3,2,1,0,3,2,5,FALSE,2012-12-01,San Diego,H
H. Bateman,G,35,1,6,0,1,2,2,0,2,2,5,1,0,2,2,4,FALSE,2012-12-01,San Diego,H
T. Pinkney,G,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,FALSE,2012-12-01,San Diego,H
D. Walker,G,13,1,3,1,2,0,0,0,3,3,0,0,0,0,0,3,FALSE,2012-12-01,San Diego,H
TEAM,NA,NA,19,46,2,7,16,26,8,18,26,10,10,2,10,14,56,FALSE,2012-12-01,San Diego,H
