player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Reddic,F,21,8,11,0,0,4,5,4,2,6,0,2,0,0,1,20,TRUE,2012-11-28,Stetson,H
R. Brandenberg,G,32,7,13,2,6,1,1,0,4,4,1,4,0,2,1,17,TRUE,2012-11-28,Stetson,H
T. Graham,G,14,3,7,0,3,1,1,0,1,1,1,0,0,0,2,7,TRUE,2012-11-28,Stetson,H
D. Theus,G,24,2,2,1,1,0,0,0,3,3,7,1,1,2,3,5,TRUE,2012-11-28,Stetson,H
T. Daniels,G,15,3,10,2,8,0,0,1,2,3,0,1,0,1,4,8,TRUE,2012-11-28,Stetson,H
D. Hinton,F,5,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,FALSE,2012-11-28,Stetson,H
J. Guest,F,16,6,7,0,0,5,9,6,4,10,1,1,0,0,1,17,FALSE,2012-11-28,Stetson,H
J. Tuoyo,F,18,0,4,0,1,1,3,0,4,4,2,0,3,1,4,1,FALSE,2012-11-28,Stetson,H
D.J. Haley,C,7,2,2,0,0,0,0,0,0,0,0,0,1,2,1,4,FALSE,2012-11-28,Stetson,H
B. Weber,G,26,4,7,0,1,3,3,3,2,5,4,4,0,0,3,11,FALSE,2012-11-28,Stetson,H
T. Okereafor,G,21,1,5,0,2,0,0,0,2,2,5,1,0,0,0,2,FALSE,2012-11-28,Stetson,H
TEAM,NA,NA,36,69,5,22,15,22,16,25,41,21,14,5,8,20,92,FALSE,2012-11-28,Stetson,H
