date,game_id,home,away
2012-11-24,323290005,UAB,TCU
2012-11-24,323290024,Stanford,Minnesota
2012-11-24,323290042,Hartford,Central Connecticut
2012-11-24,323290043,Yale,Army
2012-11-24,323290045,George Washington,Hofstra
2012-11-24,323290055,Jacksonville State,North Carolina A&T
2012-11-24,323290068,Boise State,UC Santa Barbara
2012-11-24,323290071,Bradley,UT Martin
2012-11-24,323290077,Northwestern,Illinois State
2012-11-24,323290087,Notre Dame,St. Francis (PA)
2012-11-24,323290093,Murray State,Old Dominion
2012-11-24,323290098,Western Kentucky,Brescia
2012-11-24,323290099,LSU,Mississippi Valley State
2012-11-24,323290107,Holy Cross,New Hampshire
2012-11-24,323290139,Saint Louis,Southern Illinois
2012-11-24,323290142,Missouri,VCU
2012-11-24,323290149,Montana,San Diego
2012-11-24,323290158,Nebraska,Kent State
2012-11-24,323290159,Dartmouth,Purdue Fort Wayne
2012-11-24,323290193,Miami (OH),James Madison
2012-11-24,323290195,Ohio,Richmond
2012-11-24,323290198,Oral Roberts,Belmont
2012-11-24,323290202,Tulsa,Stephen F. Austin
2012-11-24,323290225,Brown,St. Francis (BKN)
2012-11-24,323290239,Baylor,Charleston
2012-11-24,323290252,BYU,CSU Northridge
2012-11-24,323290254,Utah,Wright State
2012-11-24,323290264,Washington,Colorado State
2012-11-24,323290265,Washington State,Arkansas-Pine Bluff
2012-11-24,323290276,Marshall,Nevada
2012-11-24,323290292,UT Rio Grande Valley,SIU-Edwardsville
2012-11-24,323290322,Lafayette,Princeton
2012-11-24,323290324,Coastal Carolina,Florida International
2012-11-24,323290326,Texas State,UC Riverside
2012-11-24,323290328,Utah State,Weber State
2012-11-24,323290338,Kennesaw State,Chattanooga
2012-11-24,323290350,UNC Wilmington,Wofford
2012-11-24,323292084,Buffalo,Mansfield
2012-11-24,323292097,Campbell,Northern Arizona
2012-11-24,323292110,Central Arkansas,Sacramento State
2012-11-24,323292117,Central Michigan,Idaho State
2012-11-24,323292130,Chicago State,Omaha
2012-11-24,323292168,Dayton,Manhattan
2012-11-24,323292169,Delaware State,Navy
2012-11-24,323292197,Eastern Illinois,Houston Baptist
2012-11-24,323292198,Eastern Kentucky,Norfolk State
2012-11-24,323292199,Eastern Michigan,Madonna
2012-11-24,323292244,George Mason,Boston University
2012-11-24,323292348,Louisiana Tech,UL Monroe
2012-11-24,323292390,Miami,Detroit Mercy
2012-11-24,323292393,Middle Tennessee,Texas Southern
2012-11-24,323292439,UNLV,Iowa State
2012-11-24,323292459,Northern Illinois,Loyola Chicago
2012-11-24,323292460,Northern Iowa,Memphis
2012-11-24,323292483,Oregon,Cincinnati
2012-11-24,323292492,Pepperdine,UC Irvine
2012-11-24,323292504,Prairie View A&M,Fairleigh Dickinson
2012-11-24,323292535,Samford,UT Arlington
2012-11-24,323292539,San Francisco,Columbia
2012-11-24,323292542,Savannah St,Western Illinois
2012-11-24,323292599,St. John's,Florida Gulf Coast
2012-11-24,323292619,Stony Brook,Canisius
2012-11-24,323292655,Tulane,Southern
2012-11-24,323292674,Valparaiso,Bethune-Cookman
2012-11-24,323292678,VMI,Elon
2012-11-24,323292751,Wyoming,CSU Bakersfield
2012-11-24,323292885,NJIT,South Carolina State
