game_id,date,opponent,location,team_score,opp_score,record
323152168,2012-11-10,Dayton,A,61,74,0-1 (0-0)
323182032,2012-11-13,Ark Monticello,H,76,47,1-1 (0-0)
323212630,2012-11-16,UT Martin,A,77,73,2-1 (0-0)
323262110,2012-11-21,Central Arkansas,A,73,72,3-1 (0-0)
323302032,2012-11-25,Lamar,H,93,53,4-1 (0-0)
323342229,2012-11-29,Florida International,A,61,80,4-2 (0-1)
323362226,2012-12-01,Florida Atlantic,A,65,72,4-3 (0-2)
323432032,2012-12-08,St. Bonaventure,H,73,70,5-3 (0-2)
323512032,2012-12-16,Austin Peay,H,69,57,6-3 (0-2)
323542032,2012-12-19,Murray State,H,54,61,6-4 (0-2)
323572309,2012-12-22,Kent State,A,69,73,6-5 (0-2)
323622032,2012-12-27,Louisiana,H,87,70,7-5 (1-2)
323640006,2012-12-29,South Alabama,A,63,54,8-5 (2-2)
330032032,2013-01-03,Middle Tennessee,H,66,60,9-5 (3-2)
330052032,2013-01-05,Western Kentucky,H,75,61,10-5 (4-2)
330102032,2013-01-10,Florida International,H,64,66,10-6 (4-3)
330120309,2013-01-12,Louisiana,A,56,61,10-7 (4-4)
330192032,2013-01-19,UL Monroe,H,63,39,11-7 (5-4)
330242653,2013-01-24,Troy,A,67,74,11-8 (5-5)
330262032,2013-01-26,Florida Atlantic,H,63,38,12-8 (6-5)
330312032,2013-01-31,South Alabama,H,74,62,13-8 (7-5)
330332032,2013-02-02,North Texas,H,75,66,14-8 (8-5)
330382393,2013-02-07,Middle Tennessee,A,60,73,14-9 (8-6)
330400098,2013-02-09,Western Kentucky,A,67,49,15-9 (9-6)
330452032,2013-02-14,Little Rock,H,86,62,16-9 (10-6)
330472433,2013-02-16,UL Monroe,A,87,54,17-9 (11-6)
330542032,2013-02-23,Troy,H,58,50,18-9 (12-6)
330590249,2013-02-28,North Texas,A,50,74,18-10 (12-7)
330612031,2013-03-02,Little Rock,A,71,78,18-11 (12-8)
330682032,2013-03-09,Troy,N,68,63,19-11 (12-8)
330692032,2013-03-10,Western Kentucky,N,56,58,19-12 (12-8)
