game_id,date,opponent,location,team_score,opp_score,record
323140024,2012-11-09,San Francisco,N,74,62,1-0 (0-0)
323170024,2012-11-12,CSU Fullerton,H,81,68,2-0 (0-0)
323200024,2012-11-15,Alcorn State,H,69,51,3-0 (0-0)
323230024,2012-11-18,Belmont,H,62,70,3-1 (0-0)
323270142,2012-11-22,Missouri,N,70,78,3-2 (0-0)
323282460,2012-11-23,Northern Iowa,N,66,50,4-2 (0-0)
323290024,2012-11-24,Minnesota,N,63,66,4-3 (0-0)
323330024,2012-11-28,Seattle,H,68,57,5-3 (0-0)
323370024,2012-12-02,Denver,H,71,58,6-3 (0-0)
323500024,2012-12-15,UC Davis,H,75,52,7-3 (0-0)
323530152,2012-12-18,NC State,A,79,88,7-4 (0-0)
323560077,2012-12-21,Northwestern,A,70,68,8-4 (0-0)
323640024,2012-12-29,Lafayette,H,65,59,9-4 (0-0)
330030030,2013-01-03,USC,A,69,71,9-5 (0-1)
330050026,2013-01-05,UCLA,A,60,68,9-6 (0-2)
330090024,2013-01-09,Washington State,H,78,67,10-6 (1-2)
330120024,2013-01-12,Washington,H,60,65,10-7 (1-3)
330190024,2013-01-19,California,H,69,59,11-7 (2-3)
330240038,2013-01-24,Colorado,A,54,75,11-8 (2-4)
330270254,2013-01-27,Utah,A,87,56,12-8 (3-4)
330300024,2013-01-30,Oregon,H,76,52,13-8 (4-4)
330340024,2013-02-03,Oregon State,H,81,73,14-8 (5-4)
330370012,2013-02-06,Arizona,A,66,73,14-9 (5-5)
330400009,2013-02-09,Arizona State,A,62,59,15-9 (6-5)
330450024,2013-02-14,USC,H,64,65,15-10 (6-6)
330470024,2013-02-16,UCLA,H,80,88,15-11 (6-7)
330520204,2013-02-21,Oregon State,A,82,72,16-11 (7-7)
330542483,2013-02-23,Oregon,A,66,77,16-12 (7-8)
330580024,2013-02-27,Colorado,H,63,65,16-13 (7-9)
330620024,2013-03-03,Utah,H,84,66,17-13 (8-9)
330650025,2013-03-06,California,A,83,70,18-13 (9-9)
330720024,2013-03-13,Arizona State,N,88,89,18-14 (9-9)
330780024,2013-03-19,Stephen F. Austin,H,58,57,19-14 (9-9)
330820333,2013-03-23,Alabama,A,54,66,19-15 (9-9)
