player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Majok,F,25,7,10,0,0,11,12,9,9,18,2,0,2,1,2,25,TRUE,2014-01-03,Oakland City,H
F. House,F,21,1,6,0,1,1,2,3,4,7,0,0,0,1,4,3,TRUE,2014-01-03,Oakland City,H
C. Bond,F,24,5,8,2,2,4,4,2,3,5,2,1,1,0,1,16,TRUE,2014-01-03,Oakland City,H
M. Alstork,G,31,4,9,3,4,2,4,4,2,6,2,1,1,1,3,13,TRUE,2014-01-03,Oakland City,H
Z. Turner,G,23,4,8,2,5,2,2,0,1,1,5,1,0,4,2,12,TRUE,2014-01-03,Oakland City,H
B. Calhoun,F,11,2,3,0,0,0,0,1,2,3,0,0,1,0,1,4,FALSE,2014-01-03,Oakland City,H
T. Koch,F,14,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,FALSE,2014-01-03,Oakland City,H
M. Thok,C,4,2,3,0,0,0,0,3,3,6,1,0,0,0,0,4,FALSE,2014-01-03,Oakland City,H
Q. Payne,G,17,1,6,1,4,2,2,0,1,1,1,0,0,1,2,5,FALSE,2014-01-03,Oakland City,H
K. Crowder,G,4,0,2,0,2,0,0,0,1,1,1,0,0,0,0,0,FALSE,2014-01-03,Oakland City,H
K. Mallory,G,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,FALSE,2014-01-03,Oakland City,H
J. Berry,G,24,3,12,2,10,2,2,0,0,0,2,0,0,2,0,10,FALSE,2014-01-03,Oakland City,H
TEAM,NA,NA,30,69,10,29,24,28,24,29,53,16,4,5,10,16,94,FALSE,2014-01-03,Oakland City,H
