player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Solomon,F,28,3,6,0,0,3,6,2,14,16,1,0,2,0,2,9,TRUE,2013-11-12,Denver,H
D. Kravish,F,32,7,12,0,0,1,1,2,1,3,0,0,0,4,2,15,TRUE,2013-11-12,Denver,H
T. Wallace,G,32,5,10,0,2,6,6,2,1,3,1,3,1,1,2,16,TRUE,2013-11-12,Denver,H
J. Bird,G,24,3,8,0,1,2,3,0,3,3,0,1,0,0,0,8,TRUE,2013-11-12,Denver,H
J. Cobbs,G,30,3,5,0,0,4,6,1,3,4,6,2,0,0,2,10,TRUE,2013-11-12,Denver,H
R. Moute A Bidias,F,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,2013-11-12,Denver,H
K. Rooks,C,2,1,1,0,0,0,0,1,1,2,1,0,0,0,0,2,FALSE,2013-11-12,Denver,H
S. Singer,G,14,2,5,2,2,2,2,0,0,0,0,2,0,0,0,8,FALSE,2013-11-12,Denver,H
J. Powers,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2013-11-12,Denver,H
R. Kreklow,G,16,1,1,0,0,1,1,1,1,2,1,0,0,0,3,3,FALSE,2013-11-12,Denver,H
J. Mathews,G,13,3,7,0,2,0,0,1,4,5,1,1,0,1,0,6,FALSE,2013-11-12,Denver,H
G. Galvin,G,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2013-11-12,Denver,H
TEAM,NA,NA,28,56,2,7,19,25,12,28,40,11,9,4,6,11,77,FALSE,2013-11-12,Denver,H
