player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Ward,F,34,7,15,3,6,3,4,3,3,6,0,1,1,2,1,20,TRUE,2014-01-22,Akron,H
G. Bryant,F,22,3,9,0,1,0,0,5,0,5,0,0,0,0,1,6,TRUE,2014-01-22,Akron,H
D. Riley,C,22,1,2,0,0,0,0,2,4,6,1,0,7,0,3,2,TRUE,2014-01-22,Akron,H
D. Combs,G,24,5,20,1,7,1,1,0,1,1,1,2,0,1,5,12,TRUE,2014-01-22,Akron,H
M. Talley,G,26,4,10,1,5,1,6,0,0,0,3,0,0,3,4,10,TRUE,2014-01-22,Akron,H
O. Ajayi,F,16,0,1,0,0,2,2,1,4,5,0,0,1,0,3,2,FALSE,2014-01-22,Akron,H
M. Hughley,F,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,FALSE,2014-01-22,Akron,H
D. Harrison,F,8,1,2,0,0,0,0,3,0,3,0,0,0,0,1,2,FALSE,2014-01-22,Akron,H
A. Farhat,G,3,1,2,0,1,0,0,0,2,2,0,0,0,0,1,2,FALSE,2014-01-22,Akron,H
R. Lee,G,8,0,3,0,0,2,2,0,0,0,0,0,0,2,0,2,FALSE,2014-01-22,Akron,H
J. Ross,G,17,2,5,0,1,0,0,0,1,1,3,1,0,1,1,4,FALSE,2014-01-22,Akron,H
A. Strickland,G,18,2,3,0,0,0,0,1,1,2,0,1,0,0,0,4,FALSE,2014-01-22,Akron,H
TEAM,NA,NA,26,72,5,21,9,15,21,21,42,8,5,9,9,21,68,FALSE,2014-01-22,Akron,H
