player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
P. Ellis,F,30,6,11,0,0,0,0,3,2,5,0,1,1,0,2,12,TRUE,2014-01-11,Kansas State,H
J. Embiid,C,19,5,7,1,2,0,0,1,8,9,2,0,2,1,4,11,TRUE,2014-01-11,Kansas State,H
A. Wiggins,G,33,7,13,3,4,5,6,4,1,5,2,1,0,1,3,22,TRUE,2014-01-11,Kansas State,H
W. Selden,G,35,7,10,3,5,3,5,0,4,4,3,1,0,3,2,20,TRUE,2014-01-11,Kansas State,H
N. Tharpe,G,33,1,7,0,5,2,2,1,0,1,9,0,0,0,1,4,TRUE,2014-01-11,Kansas State,H
J. Traylor,F,16,2,2,0,0,2,4,0,3,3,1,0,1,0,1,6,FALSE,2014-01-11,Kansas State,H
J. Wesley,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2014-01-11,Kansas State,H
T. Black,F,15,2,3,0,0,0,0,0,4,4,1,0,2,1,4,4,FALSE,2014-01-11,Kansas State,H
C. Frankamp,G,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,FALSE,2014-01-11,Kansas State,H
B. Greene,G,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2,FALSE,2014-01-11,Kansas State,H
F. Mason III,G,12,1,3,0,1,0,0,0,1,1,2,1,0,1,1,2,FALSE,2014-01-11,Kansas State,H
TEAM,NA,NA,32,57,8,18,14,19,9,24,33,20,4,6,7,18,86,FALSE,2014-01-11,Kansas State,H
