player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Goard,F,26,3,5,0,0,3,4,3,2,5,0,0,2,0,2,9,TRUE,2013-12-05,Vanderbilt,A
E. Pittman,F,31,6,15,2,7,3,10,2,4,6,0,2,0,2,1,17,TRUE,2013-12-05,Vanderbilt,A
C. Sane,F,17,2,4,0,0,0,0,2,0,2,0,4,1,0,2,4,TRUE,2013-12-05,Vanderbilt,A
C. Thomas,F,20,1,8,0,2,0,0,0,2,2,3,0,0,1,3,2,TRUE,2013-12-05,Vanderbilt,A
K. Canty,G,37,7,17,3,5,1,1,1,2,3,4,2,0,4,2,18,TRUE,2013-12-05,Vanderbilt,A
S. Smith,F,24,4,6,0,0,7,8,2,2,4,0,0,0,1,2,15,FALSE,2013-12-05,Vanderbilt,A
Y. Mbao,C,12,1,1,0,0,0,0,0,1,1,0,0,1,2,2,2,FALSE,2013-12-05,Vanderbilt,A
T. Manning,G,24,0,3,0,1,0,0,0,1,1,1,3,0,1,3,0,FALSE,2013-12-05,Vanderbilt,A
D. Boykins,G,9,0,1,0,1,0,0,0,5,5,1,0,0,1,2,0,FALSE,2013-12-05,Vanderbilt,A
TEAM,NA,NA,24,60,5,16,14,23,13,21,34,9,11,4,12,19,67,FALSE,2013-12-05,Vanderbilt,A
