player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Kelly,F,33,7,11,1,4,4,6,2,1,3,2,1,0,1,3,19,TRUE,2014-02-13,Jacksonville State,A
G. Dotson,F,20,1,2,0,0,0,0,1,2,3,2,1,0,1,1,2,TRUE,2014-02-13,Jacksonville State,A
B. Reader,C,15,3,5,0,0,1,1,2,3,5,1,0,0,1,2,7,TRUE,2014-02-13,Jacksonville State,A
K. Storey,G,34,1,6,0,0,0,0,0,1,1,3,2,0,7,1,2,TRUE,2014-02-13,Jacksonville State,A
A. Warner,G,33,5,10,1,3,5,6,1,5,6,1,2,0,5,5,16,TRUE,2014-02-13,Jacksonville State,A
J. Percell,F,8,0,0,0,0,1,2,1,0,1,0,0,0,1,2,1,FALSE,2014-02-13,Jacksonville State,A
C. Posthumus,C,25,1,3,0,0,4,6,3,8,11,0,1,1,1,3,6,FALSE,2014-02-13,Jacksonville State,A
L. Pajkovic,G,10,2,4,1,3,2,2,0,3,3,0,0,0,0,0,7,FALSE,2014-02-13,Jacksonville State,A
B. Arrington,G,22,0,5,0,0,9,10,0,1,1,2,1,0,2,4,9,FALSE,2014-02-13,Jacksonville State,A
TEAM,NA,NA,20,46,3,10,26,33,12,26,38,11,8,1,19,21,69,FALSE,2014-02-13,Jacksonville State,A
