player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Calcaterra,F,17,4,5,0,0,3,6,4,8,12,1,0,2,1,3,11,TRUE,2013-12-15,Presentation College,H
J. Nash,F,20,3,6,0,0,2,4,2,1,3,0,1,0,2,0,8,TRUE,2013-12-15,Presentation College,H
A. Anderson,G,23,4,6,2,4,0,0,1,4,5,0,0,0,0,0,10,TRUE,2013-12-15,Presentation College,H
T. Huff,G,21,7,10,1,2,4,6,2,3,5,1,5,0,2,2,19,TRUE,2013-12-15,Presentation College,H
J. Webb,G,24,0,4,0,2,0,0,0,1,1,5,3,1,0,1,0,TRUE,2013-12-15,Presentation College,H
A. Traylor,F,12,4,6,0,0,0,0,2,1,3,0,1,2,3,2,8,FALSE,2013-12-15,Presentation College,H
D. Hobaugh,F,8,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,FALSE,2013-12-15,Presentation College,H
J. Schuler,G,12,1,2,1,1,0,0,0,1,1,2,0,0,0,0,3,FALSE,2013-12-15,Presentation College,H
C. Stefan,G,18,3,8,2,5,0,0,1,3,4,1,1,1,1,3,8,FALSE,2013-12-15,Presentation College,H
Q. Hooker,G,17,2,3,1,1,1,1,0,5,5,3,3,2,2,1,6,FALSE,2013-12-15,Presentation College,H
L. Antwi,G,15,2,7,0,4,1,2,0,3,3,2,0,0,1,1,5,FALSE,2013-12-15,Presentation College,H
S. Benton,G,9,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,FALSE,2013-12-15,Presentation College,H
T. Blake,G,4,0,2,0,1,0,0,0,2,2,0,0,0,1,0,0,FALSE,2013-12-15,Presentation College,H
TEAM,NA,NA,30,59,7,20,11,19,13,36,49,15,14,8,14,17,78,FALSE,2013-12-15,Presentation College,H
