player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Moser,F,28,6,11,1,3,9,11,5,12,17,1,1,0,1,4,22,TRUE,2014-03-04,Arizona State,H
W. Austin,C,28,2,6,0,0,1,1,5,5,10,0,1,5,0,3,5,TRUE,2014-03-04,Arizona State,H
J. Loyd,G,23,3,3,0,0,0,3,0,2,2,4,0,1,0,2,6,TRUE,2014-03-04,Arizona State,H
J. Young,G,33,4,14,1,3,4,4,0,1,1,4,3,0,3,1,13,TRUE,2014-03-04,Arizona State,H
D. Dotson,G,28,6,11,3,4,0,0,0,2,2,2,0,0,1,0,15,TRUE,2014-03-04,Arizona State,H
B. Carter,F,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,2014-03-04,Arizona State,H
E. Cook,F,13,2,4,0,0,0,1,1,2,3,1,1,0,0,2,4,FALSE,2014-03-04,Arizona State,H
R. Amardi,F,5,1,2,0,0,0,0,0,3,3,0,0,0,0,2,2,FALSE,2014-03-04,Arizona State,H
D. Artis,G,11,0,2,0,2,0,0,0,1,1,2,0,0,1,2,0,FALSE,2014-03-04,Arizona State,H
J. Calliste,G,27,4,7,2,4,6,6,0,0,0,0,0,0,2,3,16,FALSE,2014-03-04,Arizona State,H
TEAM,NA,NA,29,62,7,16,20,26,11,29,40,14,6,6,8,20,85,FALSE,2014-03-04,Arizona State,H
