player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Godfrey,F,36,6,10,0,0,5,7,3,12,15,1,1,3,0,1,17,TRUE,2014-02-01,Alcorn State,H
J. Mitchell,C,18,1,1,0,0,1,2,2,2,4,2,0,0,1,3,3,TRUE,2014-02-01,Alcorn State,H
Y. Johnson,G,31,4,8,1,4,1,4,2,1,3,1,0,0,0,4,10,TRUE,2014-02-01,Alcorn State,H
M. Miller,G,36,3,7,2,6,3,4,0,4,4,1,1,3,0,4,11,TRUE,2014-02-01,Alcorn State,H
T. Banks,G,36,1,6,1,1,4,6,0,5,5,4,0,1,2,1,7,TRUE,2014-02-01,Alcorn State,H
D. Goodwin,F,19,2,6,0,0,2,2,1,0,1,0,0,0,2,1,6,FALSE,2014-02-01,Alcorn State,H
F. Snow,C,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2014-02-01,Alcorn State,H
T. Lynch,G,20,2,4,0,2,4,5,1,1,2,0,0,0,3,2,8,FALSE,2014-02-01,Alcorn State,H
M. Harrel,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2014-02-01,Alcorn State,H
C. Monroe,G,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2014-02-01,Alcorn State,H
TEAM,NA,NA,19,42,4,13,20,30,9,33,42,9,2,7,8,16,62,FALSE,2014-02-01,Alcorn State,H
