player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
E. McAlister,F,32,4,8,0,0,1,2,3,4,7,0,0,0,2,4,9,TRUE,2014-02-04,Binghamton,A
J. Warney,F,34,3,7,0,0,1,3,1,7,8,2,0,1,0,4,7,TRUE,2014-02-04,Binghamton,A
A. Jackson,G,36,4,11,1,4,7,7,0,1,1,2,3,0,2,4,16,TRUE,2014-02-04,Binghamton,A
D. Coley,G,37,3,12,3,7,5,8,3,5,8,1,1,0,3,3,14,TRUE,2014-02-04,Binghamton,A
A. Walker,G,20,3,7,0,1,6,10,3,3,6,1,1,0,1,4,12,TRUE,2014-02-04,Binghamton,A
A. Mayo,F,6,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,FALSE,2014-02-04,Binghamton,A
S. King Jr.,F,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,2014-02-04,Binghamton,A
R. McGrew,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2014-02-04,Binghamton,A
C. Braley,G,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2014-02-04,Binghamton,A
K. Mitchell,G,18,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,2014-02-04,Binghamton,A
B. Resner,G,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE,2014-02-04,Binghamton,A
TEAM,NA,NA,17,51,4,15,20,30,11,24,35,6,5,1,10,25,58,FALSE,2014-02-04,Binghamton,A
