player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. McKie,F,28,3,8,0,2,0,0,0,6,6,3,1,0,0,0,6,TRUE,2013-11-29,USC,N
D. Thomas,F,24,5,8,0,0,0,3,2,6,8,4,1,0,5,3,10,TRUE,2013-11-29,USC,N
T. Cavanaugh,F,19,2,7,0,3,7,8,1,5,6,2,0,1,1,3,11,TRUE,2013-11-29,USC,N
C. Miller-McIntyre,G,31,1,4,1,2,2,4,0,2,2,4,1,0,1,2,5,TRUE,2013-11-29,USC,N
M. Jones,G,25,5,5,0,0,0,3,1,1,2,2,3,1,1,1,10,TRUE,2013-11-29,USC,N
A. Rountree,F,6,1,1,0,0,0,0,0,1,1,2,0,0,0,1,2,FALSE,2013-11-29,USC,N
A. Adala Moto,F,15,2,4,0,0,0,0,1,2,3,1,1,0,1,3,4,FALSE,2013-11-29,USC,N
A. Washington,C,14,4,4,0,0,0,0,1,1,2,1,0,1,0,2,8,FALSE,2013-11-29,USC,N
M. Overton,G,10,1,3,1,2,3,4,1,1,2,0,0,0,1,1,6,FALSE,2013-11-29,USC,N
C. Williams,G,28,6,13,3,9,0,0,0,3,3,3,0,0,1,2,15,FALSE,2013-11-29,USC,N
TEAM,NA,NA,30,57,5,18,12,22,9,30,39,22,7,3,13,18,77,FALSE,2013-11-29,USC,N
