game_id,date,opponent,location,team_score,opp_score,record
400502490,2013-11-09,Cleveland State,A,69,73,0-1 (0-0)
400502503,2013-11-16,Wofford,H,76,55,1-1 (0-0)
400498260,2013-11-19,Kansas,A,66,86,1-2 (0-0)
400506094,2013-11-23,George Mason,H,89,73,2-2 (0-0)
400499082,2013-12-01,Florida Gulf Coast,A,90,72,3-2 (0-0)
400502526,2013-12-04,Marist,H,83,74,4-2 (1-0)
400502534,2013-12-08,Fairfield,A,83,72,5-2 (2-0)
400502541,2013-12-14,St. Bonaventure,H,89,102,5-3 (2-0)
400502546,2013-12-19,Dayton,A,84,96,5-4 (2-0)
400502553,2013-12-22,Nevada,A,72,80,5-5 (2-0)
400500047,2013-12-28,Northern Iowa,A,78,90,5-6 (2-0)
400502567,2014-01-04,Niagara,H,118,92,6-6 (3-0)
400528094,2014-01-06,Quinnipiac,A,74,86,6-7 (3-1)
400502576,2014-01-10,Fairfield,H,84,75,7-7 (4-1)
400502581,2014-01-12,Siena,A,87,78,8-7 (5-1)
400502587,2014-01-17,Canisius,H,83,85,8-8 (5-2)
400502590,2014-01-19,Siena,H,88,74,9-8 (6-2)
400502597,2014-01-24,Quinnipiac,H,95,73,10-8 (7-2)
400502600,2014-01-26,Saint Peter's,A,71,63,11-8 (8-2)
400502607,2014-01-31,Manhattan,H,85,73,12-8 (9-2)
400533919,2014-02-04,Monmouth,A,89,71,13-8 (10-2)
400502616,2014-02-07,Niagara,A,90,89,14-8 (11-2)
400502620,2014-02-09,Canisius,A,101,91,15-8 (12-2)
400502625,2014-02-12,Saint Peter's,H,62,59,16-8 (13-2)
400502628,2014-02-14,Monmouth,H,89,70,17-8 (14-2)
400502641,2014-02-21,Rider,A,80,77,18-8 (15-2)
400502646,2014-02-23,Marist,A,86,67,19-8 (16-2)
400502652,2014-02-28,Manhattan,A,77,80,19-9 (16-3)
400502657,2014-03-02,Rider,H,97,81,20-9 (17-3)
400542494,2014-03-08,Rider,N,94,71,21-9 (17-3)
400543743,2014-03-09,Canisius,N,75,72,22-9 (17-3)
400544634,2014-03-10,Manhattan,N,68,71,22-10 (17-3)
400546967,2014-03-19,Louisiana Tech,A,88,89,22-11 (17-3)
