player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Panzer,F,35,6,14,2,7,2,2,0,6,6,1,1,1,5,2,16,TRUE,2014-11-21,Presbyterian,N
C. Jones,G,30,2,6,0,3,0,0,0,4,4,3,3,0,0,2,4,TRUE,2014-11-21,Presbyterian,N
J. Reed,G,39,3,7,2,2,6,6,4,3,7,2,2,1,1,0,14,TRUE,2014-11-21,Presbyterian,N
J. Schoof,G,38,7,10,5,6,0,0,0,2,2,3,3,0,2,2,19,TRUE,2014-11-21,Presbyterian,N
M. Vasic,F,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,2014-11-21,Presbyterian,N
Z. Elcano,C,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,FALSE,2014-11-21,Presbyterian,N
G. Brown,C,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,2014-11-21,Presbyterian,N
A. Paquin,G,14,1,2,1,1,0,2,0,1,1,0,1,0,0,0,3,FALSE,2014-11-21,Presbyterian,N
J. Rhea,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2014-11-21,Presbyterian,N
P. Gardner,G,36,2,4,1,2,0,0,0,2,2,3,0,0,2,3,5,FALSE,2014-11-21,Presbyterian,N
TEAM,NA,NA,22,45,11,21,8,10,6,19,25,12,10,3,10,11,63,FALSE,2014-11-21,Presbyterian,N
