player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Brown,F,33,6,14,2,8,4,6,0,2,2,1,0,0,1,4,18,TRUE,2014-12-21,USC,H
D. Clifford,C,26,4,5,0,0,1,2,1,8,9,2,1,2,4,1,9,TRUE,2014-12-21,USC,H
D. Batten,G,27,1,6,0,2,5,6,1,2,3,3,1,0,2,5,7,TRUE,2014-12-21,USC,H
P. Heckmann,G,28,5,7,3,3,0,0,2,2,4,3,1,0,0,1,13,TRUE,2014-12-21,USC,H
O. Hanlan,G,37,6,21,1,8,2,2,0,1,1,8,4,0,1,3,15,TRUE,2014-12-21,USC,H
G. Owens,F,7,1,2,0,0,0,0,2,0,2,0,1,1,2,2,2,FALSE,2014-12-21,USC,H
W. Magarity,F,14,2,3,1,1,2,2,1,1,2,0,0,0,1,1,7,FALSE,2014-12-21,USC,H
E. Odio,F,18,0,1,0,1,0,0,2,2,4,0,1,1,1,2,0,FALSE,2014-12-21,USC,H
L. Jackson,G,10,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,FALSE,2014-12-21,USC,H
TEAM,NA,NA,25,61,7,25,14,18,11,19,30,17,10,4,12,20,71,FALSE,2014-12-21,USC,H
