player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
E. Mockevicius,C,31,6,10,0,0,3,4,2,8,10,1,0,3,0,2,15,TRUE,2014-12-28,Coppin State,H
B. Simmons,G,33,4,9,1,2,4,4,1,2,3,4,0,0,1,0,13,TRUE,2014-12-28,Coppin State,H
J. Brown,G,17,1,3,0,0,2,2,0,1,1,1,1,0,2,1,4,TRUE,2014-12-28,Coppin State,H
M. Brzoja,G,34,2,5,0,1,1,2,1,9,10,6,1,0,7,1,5,TRUE,2014-12-28,Coppin State,H
D.J. Balentine,G,38,10,18,3,7,9,11,0,2,2,1,0,0,5,0,32,TRUE,2014-12-28,Coppin State,H
D. Howard,F,5,1,1,0,0,1,1,0,0,0,0,1,0,0,2,3,FALSE,2014-12-28,Coppin State,H
J. Moore,F,3,3,3,0,0,0,0,1,0,1,0,0,0,0,1,6,FALSE,2014-12-28,Coppin State,H
D. Gibson,G,22,0,2,0,0,3,4,1,4,5,7,2,0,4,4,3,FALSE,2014-12-28,Coppin State,H
T. Stafford,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,2014-12-28,Coppin State,H
C. Benzon,G,16,2,3,0,0,0,0,0,4,4,1,0,0,1,1,4,FALSE,2014-12-28,Coppin State,H
TEAM,NA,NA,29,54,4,10,23,28,7,31,38,21,5,3,21,14,85,FALSE,2014-12-28,Coppin State,H
