player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Taylor,F,34,9,19,1,6,2,2,1,10,11,1,1,0,3,5,21,TRUE,2015-01-22,UTSA,H
C. Sane,F,15,0,3,0,0,0,0,1,0,1,0,1,0,2,4,0,TRUE,2015-01-22,UTSA,H
A. Nikolic,G,20,1,4,0,2,0,0,1,3,4,3,0,0,3,1,2,TRUE,2015-01-22,UTSA,H
A. Loop,G,38,2,5,1,4,7,7,0,1,1,2,3,0,0,3,12,TRUE,2015-01-22,UTSA,H
J. Edmonds,G,17,4,9,3,5,1,1,0,2,2,1,2,1,2,0,12,TRUE,2015-01-22,UTSA,H
J. Kambola,F,14,3,4,0,0,0,0,1,4,5,0,0,2,1,5,6,FALSE,2015-01-22,UTSA,H
J. Johnson,F,13,2,7,2,7,0,0,1,2,3,1,0,0,2,4,6,FALSE,2015-01-22,UTSA,H
M. Mijovic,F,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,FALSE,2015-01-22,UTSA,H
D. Boykins,G,23,2,4,0,1,2,2,0,0,0,2,1,0,2,1,6,FALSE,2015-01-22,UTSA,H
T. Manning,G,22,0,7,0,2,1,2,0,0,0,5,1,1,1,3,1,FALSE,2015-01-22,UTSA,H
TEAM,NA,NA,24,63,7,27,13,14,6,23,29,15,9,4,16,28,68,FALSE,2015-01-22,UTSA,H
