player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Jawara,F,33,2,3,0,1,2,2,2,8,10,3,1,0,2,1,6,TRUE,2014-12-20,Mississippi Valley State,A
J. Parks,F,21,10,11,0,0,1,1,1,1,2,0,1,1,3,3,21,TRUE,2014-12-20,Mississippi Valley State,A
A. McDonald,G,27,6,11,3,7,3,4,3,1,4,0,1,0,1,4,18,TRUE,2014-12-20,Mississippi Valley State,A
N. Hilliard,G,31,2,6,0,2,2,2,2,3,5,10,1,0,1,2,6,TRUE,2014-12-20,Mississippi Valley State,A
D. Holmes,G,33,6,13,2,7,0,0,1,5,6,3,6,0,0,3,14,TRUE,2014-12-20,Mississippi Valley State,A
E. Hood,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2014-12-20,Mississippi Valley State,A
N. Maxey,C,10,1,1,0,0,2,2,1,1,2,0,0,4,1,0,4,FALSE,2014-12-20,Mississippi Valley State,A
J. Ferguson,G,13,2,3,0,0,8,10,0,0,0,0,0,0,2,2,12,FALSE,2014-12-20,Mississippi Valley State,A
R. Madison,G,9,1,4,1,3,0,0,0,1,1,2,0,0,0,2,3,FALSE,2014-12-20,Mississippi Valley State,A
J. Ingram,G,20,1,3,0,2,8,10,1,3,4,0,1,0,0,5,10,FALSE,2014-12-20,Mississippi Valley State,A
K. Crawford II,G,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,2014-12-20,Mississippi Valley State,A
TEAM,NA,NA,31,55,6,22,26,31,11,24,35,19,11,5,11,23,94,FALSE,2014-12-20,Mississippi Valley State,A
