player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. McBeath,F,24,3,6,0,0,7,7,3,2,5,0,0,0,1,2,13,TRUE,2015-02-10,Incarnate Word,A
J. Frye,F,33,5,10,0,0,3,5,0,2,2,0,0,0,2,3,13,TRUE,2015-02-10,Incarnate Word,A
L. Thomas,C,22,1,4,0,0,0,0,1,5,6,4,1,3,2,4,2,TRUE,2015-02-10,Incarnate Word,A
T.J. Carpenter,G,31,7,13,2,7,4,5,2,5,7,2,0,0,2,4,20,TRUE,2015-02-10,Incarnate Word,A
R. Lewis,G,30,1,2,0,0,3,4,1,2,3,3,0,0,4,4,5,TRUE,2015-02-10,Incarnate Word,A
L. Kamber,F,13,1,4,1,4,0,0,0,2,2,0,0,0,1,0,3,FALSE,2015-02-10,Incarnate Word,A
J. Horace,F,10,2,2,0,0,0,0,2,1,3,1,0,0,1,1,4,FALSE,2015-02-10,Incarnate Word,A
T. Julien,F,10,1,2,0,0,0,0,0,3,3,2,0,0,0,1,2,FALSE,2015-02-10,Incarnate Word,A
A. Torres,G,5,0,2,0,2,0,0,0,0,0,0,0,0,1,4,0,FALSE,2015-02-10,Incarnate Word,A
M. Nelson,G,15,1,4,0,2,0,0,1,1,2,1,0,0,3,3,2,FALSE,2015-02-10,Incarnate Word,A
Q. Thomas,G,7,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,2015-02-10,Incarnate Word,A
TEAM,NA,NA,22,51,3,16,17,21,10,25,35,13,1,3,17,27,64,FALSE,2015-02-10,Incarnate Word,A
