player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
G. Lewis,F,22,1,4,0,0,4,6,2,5,7,1,1,0,3,1,6,TRUE,2015-02-19,Iowa,A
K. Jack,F,15,1,7,0,2,0,0,2,1,3,0,0,0,2,1,2,TRUE,2015-02-19,Iowa,A
J. Etou,F,14,1,4,0,2,0,0,0,2,2,2,0,0,1,1,2,TRUE,2015-02-19,Iowa,A
B. Daniels,G,13,1,3,0,1,0,0,0,0,0,1,0,0,2,2,2,TRUE,2015-02-19,Iowa,A
M. Mack,G,21,4,6,3,5,0,0,0,0,0,1,1,0,2,0,11,TRUE,2015-02-19,Iowa,A
D.J. Foreman,F,26,4,9,0,0,2,3,3,5,8,1,1,0,1,3,10,FALSE,2015-02-19,Iowa,A
S. Zurich,F,12,0,0,0,0,0,2,0,1,1,0,0,1,1,1,0,FALSE,2015-02-19,Iowa,A
S. Doorson,C,15,2,3,0,0,0,0,1,0,1,2,0,0,2,2,4,FALSE,2015-02-19,Iowa,A
M. Kone,G,12,1,1,0,0,0,0,0,2,2,1,0,0,0,2,2,FALSE,2015-02-19,Iowa,A
K. Okoro,G,11,2,7,1,4,0,0,1,1,2,0,1,0,0,1,5,FALSE,2015-02-19,Iowa,A
J. Hyde,G,5,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,FALSE,2015-02-19,Iowa,A
K. Batie,G,8,0,3,0,3,0,0,0,3,3,0,0,0,1,1,0,FALSE,2015-02-19,Iowa,A
J. Dadika,G,11,0,2,0,1,0,0,0,1,1,0,1,0,2,0,0,FALSE,2015-02-19,Iowa,A
M. Williams,G,15,1,5,1,3,0,0,1,0,1,1,0,1,2,3,3,FALSE,2015-02-19,Iowa,A
TEAM,NA,NA,18,55,5,22,6,13,11,22,33,10,6,2,19,18,47,FALSE,2015-02-19,Iowa,A
