player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Peters,F,7,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,TRUE,2014-12-30,AUB Montgomery,H
T. Hood,F,15,4,8,2,6,1,1,0,0,0,1,0,0,2,3,11,TRUE,2014-12-30,AUB Montgomery,H
N. Enechionyia,G,17,3,6,2,5,0,1,1,0,1,2,0,0,1,0,8,TRUE,2014-12-30,AUB Montgomery,H
C. Cunningham,G,21,1,5,0,0,2,2,2,2,4,8,1,0,1,2,4,TRUE,2014-12-30,AUB Montgomery,H
D. Jones-Gibson,G,19,4,7,0,0,2,3,1,2,3,0,1,0,0,0,10,TRUE,2014-12-30,AUB Montgomery,H
E. Ikezu,F,6,1,2,0,0,0,2,1,0,1,0,0,0,1,5,2,FALSE,2014-12-30,AUB Montgomery,H
J. Shabazz,F,16,1,4,1,2,2,4,2,2,4,3,0,0,2,2,5,FALSE,2014-12-30,AUB Montgomery,H
M. Bradley,C,20,4,6,0,0,0,0,1,6,7,1,1,2,3,0,8,FALSE,2014-12-30,AUB Montgomery,H
R. Dickey,G,6,1,4,1,3,0,0,0,1,1,1,0,0,0,1,3,FALSE,2014-12-30,AUB Montgomery,H
E. Taylor,G,18,3,3,0,0,1,2,2,3,5,1,2,0,1,1,7,FALSE,2014-12-30,AUB Montgomery,H
M. Johnson,G,25,5,5,3,3,2,2,0,1,1,2,2,0,1,2,15,FALSE,2014-12-30,AUB Montgomery,H
B. Roberts,G,18,6,10,4,7,3,4,0,3,3,5,1,0,0,3,19,FALSE,2014-12-30,AUB Montgomery,H
B. Hayman,G,12,1,5,0,0,0,0,1,5,6,0,0,0,1,2,2,FALSE,2014-12-30,AUB Montgomery,H
TEAM,NA,NA,34,66,13,26,13,21,13,26,39,24,8,2,14,23,94,FALSE,2014-12-30,AUB Montgomery,H
