player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Mobley,F,23,3,11,1,4,1,2,1,1,2,0,1,0,0,1,8,TRUE,2014-12-21,Georgia,A
A. Delgado,C,18,1,3,0,0,0,0,1,3,4,1,0,2,2,2,2,TRUE,2014-12-21,Georgia,A
I. Whitehead,G,18,2,6,1,2,0,0,1,4,5,1,1,0,4,4,5,TRUE,2014-12-21,Georgia,A
S. Gibbs,G,31,1,11,0,5,1,2,0,0,0,2,1,0,2,2,3,TRUE,2014-12-21,Georgia,A
J. Sina,G,28,0,5,0,4,3,3,1,2,3,2,0,0,1,1,3,TRUE,2014-12-21,Georgia,A
D. Rodriguez,F,14,3,5,0,0,2,4,2,3,5,0,1,0,0,3,8,FALSE,2014-12-21,Georgia,A
I. Sanogo,F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2014-12-21,Georgia,A
C. Ajou,C,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,FALSE,2014-12-21,Georgia,A
R. Anthony,C,15,2,2,0,0,0,0,0,3,3,0,0,0,0,3,4,FALSE,2014-12-21,Georgia,A
H. Karlis,G,17,1,2,1,2,3,6,1,1,2,1,0,0,1,1,6,FALSE,2014-12-21,Georgia,A
K. Carrington,G,27,3,9,0,3,2,4,1,4,5,0,2,0,4,0,8,FALSE,2014-12-21,Georgia,A
TEAM,NA,NA,16,54,3,20,12,21,9,22,31,7,6,3,14,21,47,FALSE,2014-12-21,Georgia,A
