player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. De La Rosa,C,9,1,2,0,0,0,0,1,1,2,0,0,0,0,3,2,TRUE,2015-02-17,Georgetown,A
P. Greene IV,G,31,6,14,4,8,2,3,0,2,2,1,0,0,1,1,18,TRUE,2015-02-17,Georgetown,A
D. Harrison,G,29,0,9,0,5,5,6,0,4,4,3,0,0,1,3,5,TRUE,2015-02-17,Georgetown,A
S. Pointer,G,37,6,14,0,0,4,5,5,3,8,0,0,1,4,3,16,TRUE,2015-02-17,Georgetown,A
R. Jordan,G,26,1,6,1,3,0,1,0,2,2,2,0,0,5,3,3,TRUE,2015-02-17,Georgetown,A
A. Alibegovic,F,18,2,5,1,3,0,2,0,1,1,0,0,0,0,3,5,FALSE,2015-02-17,Georgetown,A
C. Jones,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2015-02-17,Georgetown,A
C. Obekpa,F,13,2,2,0,0,0,0,1,1,2,0,0,2,1,3,4,FALSE,2015-02-17,Georgetown,A
K. Ndiaye,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2015-02-17,Georgetown,A
D. Lipscomb,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2015-02-17,Georgetown,A
F. Balamou,G,7,0,1,0,0,0,0,1,1,2,0,0,0,0,2,0,FALSE,2015-02-17,Georgetown,A
J. Branch,G,21,1,2,1,1,1,2,0,2,2,5,0,0,2,1,4,FALSE,2015-02-17,Georgetown,A
M. Stewart,G,5,0,2,0,2,0,0,0,1,1,0,0,0,0,1,0,FALSE,2015-02-17,Georgetown,A
TEAM,NA,NA,19,58,7,22,12,19,12,21,33,11,0,3,15,23,57,FALSE,2015-02-17,Georgetown,A
