game_id,date,opponent,location,team_score,opp_score,record
400587751,2014-11-14,Clemson,A,41,86,0-1 (0-0)
400588635,2014-11-15,South Carolina Upstate,A,65,78,0-2 (0-0)
400587224,2014-11-19,San Diego,A,41,72,0-3 (0-0)
400590733,2014-11-21,Grand Canyon,A,49,64,0-4 (0-0)
400591570,2014-11-24,Wyoming,A,45,66,0-5 (0-0)
400590741,2014-11-26,New Mexico State,A,33,78,0-6 (0-0)
400588664,2014-11-29,Stetson,N,50,62,0-7 (0-0)
400585930,2014-11-30,Northern Colorado,A,56,95,0-8 (0-0)
400598566,2014-12-06,South Carolina State,A,61,70,2-27 (2-14)
400588693,2014-12-19,North Florida,H,65,83,0-10 (0-1)
400586744,2014-12-22,East Carolina,A,57,75,0-11 (0-1)
400591417,2014-12-29,Florida International,H,55,76,0-12 (0-1)
400588719,2015-01-03,Stetson,A,60,65,0-13 (0-1)
400588723,2015-01-06,Jacksonville,H,56,79,0-14 (0-1)
400598593,2015-01-10,Norfolk State,H,51,75,0-15 (0-2)
400598599,2015-01-12,Hampton,H,63,78,0-16 (0-3)
400598601,2015-01-17,Morgan State,A,65,75,0-17 (0-4)
400598607,2015-01-19,Coppin State,A,75,87,0-18 (0-5)
400598617,2015-01-24,Howard,H,50,59,0-19 (0-6)
400598622,2015-01-26,Maryland-Eastern Shore,H,65,72,0-20 (0-7)
400598626,2015-01-31,Bethune-Cookman,H,44,61,0-21 (0-8)
400598633,2015-02-02,North Carolina Central,A,43,85,0-22 (0-9)
400598644,2015-02-09,Delaware State,A,74,90,0-23 (0-10)
400598671,2015-02-14,North Carolina A&T,H,57,50,1-23 (1-10)
400598654,2015-02-16,North Carolina Central,H,48,73,1-24 (1-11)
400598661,2015-02-21,Bethune-Cookman,A,57,64,1-25 (1-12)
400598681,2015-02-23,Savannah St,A,52,63,1-26 (1-13)
400598652,2015-02-28,North Carolina A&T,A,65,77,1-27 (1-14)
400601359,2015-03-05,Savannah St,H,64,57,2-27 (2-14)
